anime_id,score
1,8.78
2,8.39
3,8.24
4,7.27
5,6.98
6,7.95
7,8.06
8,7.59
9,8.15
10,8.76
11,7.91
12,8.52
13,7.90
14,6.38
15,7.94
16,7.42
17,7.76
18,7.32
19,7.95
20,7.51
21,8.32
22,7.45
23,8.51
24,8.49
25,8.29
26,8.73
27,8.31
28,7.56
29,8.17
30,6.98
31,7.32
32,7.35
33,6.31
34,7.26
35,7.14
36,7.10
37,6.53
38,5.91
39,8.31
40,7.05
41,7.43
42,7.66
43,7.20
44,6.77
45,6.62
46,7.44
47,7.65
48,7.98
49,7.58
50,7.38
51,6.35
52,7.65
53,8.07
54,7.96
55,7.65
56,7.30
57,7.42
58,7.99
59,7.09
60,7.78
61,8.03
62,7.90
63,6.79
64,7.30
65,7.92
66,6.66
67,7.68
68,6.67
69,6.76
70,7.72
71,7.76
72,7.32
73,7.79
74,7.22
75,7.70
76,7.56
77,7.82
78,7.46
79,7.31
80,7.20
81,7.32
82,7.48
83,7.39
84,7.23
85,6.46
86,7.70
87,7.23
88,7.29
89,6.81
90,7.63
91,6.83
92,4.95
93,7.38
94,7.93
95,6.83
96,6.97
97,7.32
98,6.85
99,6.56
100,7.69
101,8.17
102,7.96
103,7.64
104,6.86
105,6.49
106,6.91
107,6.96
108,6.79
109,7.59
110,7.41
111,7.42
112,7.61
113,6.21
114,7.42
115,8.11
116,8.42
117,8.33
118,8.21
119,8.29
120,6.14
121,7.45
122,6.87
123,7.11
124,7.61
125,6.76
126,7.24
127,6.62
128,6.86
129,7.66
130,7.12
131,7.28
132,8.06
133,7.78
134,6.59
135,7.43
136,6.98
137,7.34
138,6.34
139,7.66
140,7.33
141,6.94
142,6.48
143,8.72
144,7.42
145,7.48
146,7.41
147,7.38
148,6.91
149,8.53
150,6.35
151,7.23
152,6.93
153,6.63
154,6.19
155,7.55
156,7.18
157,6.69
158,7.21
159,7.42
160,7.70
161,7.39
162,6.37
163,8.29
164,8.12
165,7.89
166,6.11
167,7.14
168,7.25
169,7.34
170,7.21
171,6.80
172,7.55
173,7.17
174,6.88
175,6.55
176,7.35
177,8.83
178,7.48
179,7.21
180,7.82
181,6.75
182,6.11
183,8.50
184,7.16
185,7.40
186,7.67
187,7.55
188,7.76
189,6.26
190,6.86
191,6.02
192,6.15
193,6.31
194,5.94
195,6.28
196,7.52
197,6.77
198,5.76
199,6.65
200,6.68
201,8.00
202,6.48
203,7.56
204,8.03
205,7.65
206,6.92
207,7.02
208,6.18
209,8.16
210,7.65
211,6.69
212,8.16
213,6.64
214,8.09
215,7.36
216,8.17
217,7.66
218,6.45
219,7.42
220,7.02
221,6.88
222,8.70
223,7.27
224,7.05
225,6.68
226,7.85
227,7.55
228,7.70
229,7.07
230,7.84
231,7.83
232,7.65
233,7.22
234,6.45
235,6.23
236,6.64
237,6.67
238,6.84
239,6.83
240,8.75
241,8.29
242,8.23
243,6.80
244,7.87
245,8.03
246,7.80
247,7.50
248,6.70
249,7.31
250,6.75
251,7.22
252,5.91
253,7.18
254,7.17
255,6.75
256,7.15
257,6.83
258,5.74
259,7.30
260,7.70
261,7.03
262,6.80
263,7.05
264,7.44
265,6.73
266,6.59
267,7.69
268,7.01
269,6.85
270,6.73
271,5.93
272,6.30
273,6.73
274,6.72
275,6.60
276,6.61
277,6.77
278,6.32
279,8.09
280,6.92
281,7.57
282,5.39
283,7.26
284,6.01
285,6.94
286,6.16
287,5.98
288,7.02
289,6.52
290,6.83
291,6.87
292,6.50
293,6.19
294,7.76
295,6.73
296,6.02
297,6.56
298,6.00
299,7.83
300,7.68
301,7.69
302,7.00
303,7.27
304,7.42
