anime_id,duration
1,"24 min. per ep."
2,"1 hr. 55 min."
3,"24 min. per ep."
4,"25 min. per ep."
5,"23 min. per ep."
6,"23 min. per ep."
7,"23 min. per ep."
8,"23 min. per ep."
9,"27 min. per ep."
10,"24 min. per ep."
11,"23 min. per ep."
12,"24 min."
13,"22 min. per ep."
14,"25 min. per ep."
15,"23 min. per ep."
16,"24 min. per ep."
17,"23 min. per ep."
18,"24 min. per ep."
19,"24 min. per ep."
20,"24 min. per ep."
21,"24 min. per ep."
22,"1 hr. 44 min."
23,"1 hr. 27 min."
24,"25 min. per ep."
25,"1 hr. 22 min."
26,"30 min. per ep."
27,"25 min. per ep."
28,"1 hr. 31 min."
29,"2 hr. 4 min."
30,"24 min. per ep."
31,"30 min. per ep."
32,"24 min. per ep."
33,"30 min. per ep."
34,"24 min. per ep."
35,"23 min. per ep."
36,"1 hr. 45 min."
37,"22 min. per ep."
38,"24 min. per ep."
39,"25 min. per ep."
40,"23 min. per ep."
41,"24 min. per ep."
42,"23 min. per ep."
43,"23 min. per ep."
44,"24 min. per ep."
45,"23 min. per ep."
46,"24 min. per ep."
47,"24 min. per ep."
48,"24 min. per ep."
49,"24 min. per ep."
50,"24 min. per ep."
51,"24 min. per ep."
52,"24 min. per ep."
53,"24 min. per ep."
54,"24 min. per ep."
55,"25 min. per ep."
56,"24 min. per ep."
57,"25 min. per ep."
58,"25 min. per ep."
59,"23 min. per ep."
60,"25 min. per ep."
61,"25 min. per ep."
62,"27 min. per ep."
63,"52 min."
64,"30 min. per ep."
65,"24 min. per ep."
66,"24 min. per ep."
67,"1 hr. 59 min."
68,"2 hr."
69,"24 min. per ep."
70,"24 min. per ep."
71,"30 min. per ep."
72,"24 min. per ep."
73,"24 min. per ep."
74,"24 min. per ep."
75,"24 min. per ep."
76,"24 min. per ep."
77,"24 min. per ep."
78,"23 min. per ep."
79,"24 min. per ep."
80,"23 min. per ep."
81,"24 min. per ep."
82,"25 min. per ep."
83,"24 min. per ep."
84,"21 min. per ep."
85,"23 min. per ep."
86,"25 min. per ep."
87,"24 min. per ep."
88,"30 min. per ep."
89,"23 min. per ep."
90,"23 min. per ep."
91,"25 min. per ep."
92,"14 min. per ep."
93,"23 min. per ep."
94,"12 min. per ep."
95,"25 min. per ep."
96,"23 min. per ep."
97,"34 min. per ep."
98,"30 min. per ep."
99,"14 min. per ep."
100,"24 min. per ep."
101,"24 min. per ep."
102,"24 min. per ep."
103,"23 min. per ep."
104,"30 min. per ep."
105,"24 min. per ep."
106,"24 min. per ep."
107,"25 min. per ep."
108,"30 min. per ep."
109,"23 min. per ep."
110,"23 min. per ep."
111,"24 min. per ep."
112,"24 min. per ep."
113,"24 min. per ep."
114,"24 min. per ep."
115,"23 min. per ep."
116,"23 min. per ep."
117,"24 min. per ep."
118,"22 min. per ep."
119,"24 min. per ep."
120,"23 min. per ep."
121,"24 min. per ep."
122,"24 min. per ep."
123,"24 min. per ep."
124,"24 min. per ep."
125,"24 min. per ep."
126,"23 min. per ep."
127,"24 min. per ep."
128,"24 min. per ep."
129,"24 min. per ep."
130,"46 min. per ep."
131,"23 min. per ep."
132,"25 min. per ep."
133,"23 min. per ep."
134,"1 hr. 37 min."
135,"24 min. per ep."
136,"23 min. per ep."
137,"24 min. per ep."
138,"23 min. per ep."
139,"25 min. per ep."
140,"24 min. per ep."
141,"24 min. per ep."
142,"20 min. per ep."
143,"2 hr. 15 min."
144,"23 min. per ep."
145,"26 min. per ep."
146,"23 min. per ep."
147,"24 min. per ep."
148,"24 min. per ep."
149,"23 min. per ep."
150,"23 min. per ep."
151,"24 min. per ep."
152,"23 min. per ep."
153,"25 min. per ep."
154,"28 min. per ep."
155,"25 min. per ep."
156,"24 min. per ep."
157,"21 min."
158,"22 min. per ep."
159,"22 min. per ep."
160,"24 min. per ep."
161,"24 min. per ep."
162,"23 min. per ep."
163,"25 min. per ep."
164,"23 min. per ep."
165,"1 hr. 45 min."
166,"30 min. per ep."
167,"23 min. per ep."
168,"30 min. per ep."
169,"46 min."
170,"46 min."
171,"24 min. per ep."
172,"30 min. per ep."
173,"23 min. per ep."
174,"25 min. per ep."
175,"15 min. per ep."
176,"23 min. per ep."
177,"2 hr. 5 min."
178,"24 min. per ep."
179,"29 min. per ep."
180,"23 min. per ep."
181,"30 min. per ep."
182,"24 min. per ep."
183,"24 min. per ep."
184,"24 min. per ep."
185,"25 min. per ep."
186,"33 min. per ep."
187,"25 min. per ep."
188,"24 min. per ep."
189,"30 min. per ep."
190,"1 hr. 24 min."
191,"29 min. per ep."
192,"30 min. per ep."
193,"28 min. per ep."
194,"48 min."
195,"30 min. per ep."
196,"23 min. per ep."
197,"1 hr. 19 min."
198,"30 min. per ep."
199,"30 min. per ep."
200,"25 min. per ep."
201,"24 min. per ep."
202,"23 min. per ep."
203,"25 min. per ep."
204,"25 min. per ep."
205,"25 min. per ep."
206,"24 min. per ep."
207,"24 min. per ep."
208,"12 min. per ep."
209,"25 min. per ep."
210,"25 min. per ep."
211,"24 min. per ep."
212,"25 min."
213,"23 min. per ep."
214,"24 min. per ep."
215,"23 min. per ep."
216,"24 min. per ep."
217,"25 min. per ep."
218,"23 min. per ep."
219,"23 min. per ep."
220,"22 min. per ep."
221,"25 min. per ep."
222,"25 min. per ep."
223,"24 min. per ep."
224,"24 min. per ep."
225,"23 min. per ep."
226,"24 min. per ep."
227,"23 min. per ep."
228,"25 min. per ep."
229,"24 min. per ep."
230,"23 min. per ep."
231,"26 min. per ep."
232,"26 min. per ep."
233,"25 min."
234,"24 min. per ep."
235,"30 min. per ep."
236,"30 min. per ep."
237,"23 min. per ep."
238,"24 min. per ep."
239,"30 min. per ep."
240,"23 min. per ep."
241,"1 hr. 30 min."
242,"1 hr. 1 min."
243,"23 min. per ep."
244,"25 min. per ep."
245,"29 min. per ep."
246,"24 min. per ep."
247,"23 min. per ep."
248,"25 min. per ep."
249,"24 min. per ep."
250,"24 min. per ep."
251,"23 min. per ep."
252,"15 min. per ep."
253,"24 min. per ep."
254,"24 min. per ep."
255,"20 min. per ep."
256,"24 min. per ep."
257,"23 min. per ep."
258,"27 min. per ep."
259,"23 min. per ep."
260,"25 min. per ep."
261,"25 min. per ep."
262,"25 min. per ep."
263,"22 min. per ep."
264,"25 min. per ep."
265,"23 min. per ep."
266,"24 min. per ep."
267,"26 min. per ep."
268,"25 min. per ep."
269,"24 min. per ep."
270,"4 min. per ep."
271,"24 min. per ep."
272,"24 min. per ep."
273,"25 min. per ep."
274,"25 min. per ep."
275,"23 min. per ep."
276,"33 min. per ep."
277,"30 min. per ep."
278,"25 min. per ep."
279,"29 min. per ep."
280,"7 min. per ep."
281,"1 hr. 46 min."
282,"18 min. per ep."
283,"24 min. per ep."
284,"24 min. per ep."
285,"25 min. per ep."
286,"24 min. per ep."
287,"25 min. per ep."
288,"24 min. per ep."
289,"24 min. per ep."
290,"1 hr. 30 min."
291,"24 min. per ep."
292,"1 hr. 24 min."
293,"24 min. per ep."
294,"1 hr. 41 min."
295,"23 min. per ep."
296,"30 min. per ep."
297,"26 min. per ep."
298,"23 min. per ep."
299,"24 min. per ep."
300,"24 min. per ep."
301,"25 min. per ep."
302,"24 min. per ep."
303,"22 min. per ep."
304,"25 min. per ep."
305,"24 min. per ep."
306,"25 min. per ep."
307,"24 min. per ep."
308,"23 min. per ep."
309,"23 min. per ep."
310,"24 min. per ep."
311,"24 min. per ep."
312,"24 min. per ep."
313,"24 min. per ep."
314,"11 min. per ep."
315,"24 min. per ep."
316,"23 min. per ep."
317,"23 min. per ep."
318,"23 min. per ep."
319,"24 min. per ep."
320,"24 min. per ep."
321,"25 min. per ep."
322,"25 min. per ep."
323,"12 min. per ep."
324,"24 min. per ep."
325,"13 min. per ep."
326,"24 min. per ep."
327,"24 min. per ep."
328,"24 min. per ep."
329,"24 min. per ep."
330,"24 min. per ep."
331,"14 min. per ep."
332,"24 min. per ep."
333,"24 min. per ep."
334,"25 min. per ep."
335,"27 min. per ep."
336,"30 min. per ep."
337,"23 min. per ep."
338,"30 min. per ep."
339,"30 min. per ep."
340,"27 min. per ep."
341,"25 min. per ep."
342,"55 min."
343,"30 min. per ep."
344,"24 min. per ep."
345,"30 min. per ep."
346,"24 min. per ep."
347,"25 min. per ep."
348,"1 hr. 21 min."
349,"1 hr. 22 min."
350,"28 min. per ep."
351,"24 min. per ep."
352,"23 min. per ep."
353,"25 min."
354,"25 min. per ep."
355,"1 hr. 2 min."
356,"24 min. per ep."
357,"28 min. per ep."
358,"33 min. per ep."
359,"28 min. per ep."
360,"13 min. per ep."
361,"22 min. per ep."
362,"23 min. per ep."
363,"24 min. per ep."
364,"24 min. per ep."
365,"23 min. per ep."
366,"30 min. per ep."
367,"23 min. per ep."
368,"30 min. per ep."
369,"24 min. per ep."
370,"1 hr. 37 min."
371,"23 min. per ep."
372,"23 min. per ep."
373,"25 min. per ep."
374,"25 min. per ep."
375,"37 min. per ep."
376,"2 hr."
377,"25 min. per ep."
378,"42 min. per ep."
379,"37 min."
380,"14 min. per ep."
381,"26 min. per ep."
382,"48 min."
383,"25 min. per ep."
384,"25 min. per ep."
385,"25 min."
386,"24 min. per ep."
387,"24 min. per ep."
388,"19 min."
389,"1 hr. 44 min."
390,"1 hr. 33 min."
391,"24 min. per ep."
392,"1 hr. 14 min."
393,"24 min. per ep."
394,"1 hr. 30 min."
395,"23 min. per ep."
396,"30 min. per ep."
397,"26 min. per ep."
398,"25 min. per ep."
399,"26 min. per ep."
400,"30 min. per ep."
401,"23 min. per ep."
402,"24 min."
403,"50 min."
404,"1 hr. 45 min."
405,"1 hr. 59 min."
406,"27 min. per ep."
407,"1 hr. 30 min."
408,"42 min."
409,"24 min. per ep."
410,"1 hr. 20 min."
411,"30 min. per ep."
412,"45 min. per ep."
413,"23 min. per ep."
414,"1 hr. 30 min."
415,"1 hr. 22 min."
416,"21 min."
417,"24 min. per ep."
418,"22 min. per ep."
419,"20 min. per ep."
420,"23 min. per ep."
421,"24 min. per ep."
422,"1 hr. 27 min."
423,"1 hr. 39 min."
