anime_id,genre_id,genre
1,11,Space
1,2,Adventure
1,5,Drama
1,6,Sci-Fi
1,1,Action
1,3,Comedy
2,16,Mystery
2,1,Action
2,5,Drama
2,6,Sci-Fi
2,11,Space
3,3,Comedy
3,5,Drama
3,30,Shounen
3,6,Sci-Fi
3,2,Adventure
3,1,Action
4,1,Action
4,14,Supernatural
4,5,Drama
4,27,Police
4,25,Magic
4,16,Mystery
5,19,Fantasy
5,2,Adventure
5,14,Supernatural
5,30,Shounen
6,3,Comedy
6,23,Sports
6,30,Shounen
6,1,Action
7,3,Comedy
7,40,Josei
7,26,Romance
7,4,SliceofLife
7,5,Drama
8,3,Comedy
8,4,SliceofLife
8,30,Shounen
8,23,Sports
9,23,Sports
9,29,Cars
9,5,Drama
9,37,Seinen
9,1,Action
10,5,Drama
10,16,Mystery
10,27,Police
10,28,Psychological
10,37,Seinen
10,39,Thriller
10,21,Horror
11,2,Adventure
11,1,Action
11,30,Shounen
11,3,Comedy
11,34,SuperPower
11,36,MartialArts
12,34,SuperPower
12,5,Drama
12,2,Adventure
12,3,Comedy
12,1,Action
12,19,Fantasy
12,30,Shounen
13,17,School
13,30,Shounen
13,1,Action
13,3,Comedy
13,23,Sports
14,23,Sports
14,30,Shounen
14,1,Action
15,3,Comedy
15,26,Romance
15,30,Shounen
15,17,School
16,3,Comedy
16,30,Shounen
16,20,Ecchi
16,6,Sci-Fi
16,1,Action
16,2,Adventure
17,6,Sci-Fi
17,28,Psychological
17,1,Action
17,5,Drama
18,14,Supernatural
18,1,Action
18,35,Vampire
19,3,Comedy
19,30,Shounen
20,10,Military
20,15,Historical
20,5,Drama
20,1,Action
20,37,Seinen
20,6,Sci-Fi
21,24,Dementia
21,6,Sci-Fi
21,13,Mecha
21,28,Psychological
21,5,Drama
21,1,Action
22,5,Drama
22,28,Psychological
22,6,Sci-Fi
22,13,Mecha
23,24,Dementia
23,6,Sci-Fi
23,5,Drama
23,13,Mecha
23,28,Psychological
24,31,Demons
24,2,Adventure
24,5,Drama
24,19,Fantasy
24,1,Action
24,21,Horror
24,10,Military
24,26,Romance
24,37,Seinen
24,14,Supernatural
25,37,Seinen
25,27,Police
25,1,Action
25,13,Mecha
25,28,Psychological
25,6,Sci-Fi
26,26,Romance
26,36,MartialArts
26,7,Samurai
26,30,Shounen
26,15,Historical
26,5,Drama
26,1,Action
27,1,Action
27,15,Historical
27,26,Romance
27,3,Comedy
27,7,Samurai
27,30,Shounen
