anime_id,licensor_id,licensors
1,1,Funimation
1,71," Bandai Entertainment"
2,2,"Sony Pictures Entertainment"
3,1,Funimation
3,72," Geneon Entertainment USA"
4,1,Funimation
4,71," Bandai Entertainment"
6,3,"VIZ Media"
6,73," Sentai Filmworks"
7,3,"VIZ Media"
7,74," Discotek Media"
9,1,Funimation
10,3,"VIZ Media"
11,3,"VIZ Media"
12,1,Funimation
12,75," 4Kids Entertainment"
13,3,"VIZ Media"
15,1,Funimation
16,1,Funimation
17,1,Funimation
17,72," Geneon Entertainment USA"
18,1,Funimation
19,4,"Nozomi Entertainment"
20,5,"Geneon Entertainment USA"
21,6,"ADV Films"
21,76," Netflix"
22,7,"Manga Entertainment"
23,7,"Manga Entertainment"
24,8,"Media Blasters"
24,77," NYAV Post"
25,7,"Manga Entertainment"
26,6,"ADV Films"
26,78," Aniplex of America"
27,8,"Media Blasters"
28,6,"ADV Films"
28,78," Aniplex of America"
29,1,Funimation
29,71," Bandai Entertainment"
29,72," Geneon Entertainment USA"
30,1,Funimation
30,71," Bandai Entertainment"
31,9,AnimEigo
32,8,"Media Blasters"
32,77," NYAV Post"
33,8,"Media Blasters"
34,6,"ADV Films"
34,73," Sentai Filmworks"
35,1,Funimation
35,72," Geneon Entertainment USA"
36,10,"Sentai Filmworks"
36,72," Geneon Entertainment USA"
37,6,"ADV Films"
38,11,"Bandai Entertainment"
39,1,Funimation
40,1,Funimation
41,1,Funimation
41,72," Geneon Entertainment USA"
42,6,"ADV Films"
42,79," Funimation"
43,6,"ADV Films"
43,74," Discotek Media"
45,12,"Discotek Media"
45,72," Geneon Entertainment USA"
46,10,"Sentai Filmworks"
46,72," Geneon Entertainment USA"
47,10,"Sentai Filmworks"
47,72," Geneon Entertainment USA"
48,6,"ADV Films"
48,73," Sentai Filmworks"
49,1,Funimation
50,1,Funimation
51,10,"Sentai Filmworks"
52,6,"ADV Films"
52,79," Funimation"
53,6,"ADV Films"
53,79," Funimation"
54,6,"ADV Films"
54,79," Funimation"
54,99," Kadokawa Pictures USA"
55,4,"Nozomi Entertainment"
56,1,Funimation
56,72," Geneon Entertainment USA"
57,5,"Geneon Entertainment USA"
58,5,"Geneon Entertainment USA"
59,1,Funimation
60,4,"Nozomi Entertainment"
60,71," Bandai Entertainment"
61,11,"Bandai Entertainment"
62,4,"Nozomi Entertainment"
62,71," Bandai Entertainment"
63,11,"Bandai Entertainment"
64,4,"Nozomi Entertainment"
64,71," Bandai Entertainment"
65,4,"Nozomi Entertainment"
65,71," Bandai Entertainment"
66,4,"Nozomi Entertainment"
67,11,"Bandai Entertainment"
68,4,"Nozomi Entertainment"
68,71," Bandai Entertainment"
69,4,"Nozomi Entertainment"
70,11,"Bandai Entertainment"
71,11,"Bandai Entertainment"
72,4,"Nozomi Entertainment"
73,11,"Bandai Entertainment"
73,77," NYAV Post"
74,11,"Bandai Entertainment"
74,77," NYAV Post"
75,4,"Nozomi Entertainment"
76,11,"Bandai Entertainment"
77,1,Funimation
77,72," Geneon Entertainment USA"
78,1,Funimation
78,71," Bandai Entertainment"
79,1,Funimation
79,71," Bandai Entertainment"
80,6,"ADV Films"
80,79," Funimation"
81,6,"ADV Films"
81,79," Funimation"
84,3,"VIZ Media"
84,74," Discotek Media"
85,4,"Nozomi Entertainment"
86,3,"VIZ Media"
86,74," Discotek Media"
87,6,"ADV Films"
88,6,"ADV Films"
88,79," Funimation"
89,1,Funimation
91,3,"VIZ Media"
93,12,"Discotek Media"
93,72," Geneon Entertainment USA"
94,6,"ADV Films"
94,73," Sentai Filmworks"
94,74," Discotek Media"
95,5,"Geneon Entertainment USA"
96,4,"Nozomi Entertainment"
96,72," Geneon Entertainment USA"
97,4,"Nozomi Entertainment"
97,72," Geneon Entertainment USA"
98,5,"Geneon Entertainment USA"
100,1,Funimation
101,1,Funimation
101,78," Aniplex of America"
102,3,"VIZ Media"
103,8,"Media Blasters"
103,72," Geneon Entertainment USA"
104,8,"Media Blasters"
104,72," Geneon Entertainment USA"
107,5,"Geneon Entertainment USA"
108,5,"Geneon Entertainment USA"
109,6,"ADV Films"
110,5,"Geneon Entertainment USA"
111,5,"Geneon Entertainment USA"
112,6,"ADV Films"
112,73," Sentai Filmworks"
113,8,"Media Blasters"
114,1,Funimation
115,3,"VIZ Media"
116,3,"VIZ Media"
120,6,"ADV Films"
120,79," Funimation"
122,10,"Sentai Filmworks"
122,72," Geneon Entertainment USA"
123,1,Funimation
124,4,"Nozomi Entertainment"
125,6,"ADV Films"
126,1,Funimation
127,6,"ADV Films"
128,8,"Media Blasters"
129,2,"Sony Pictures Entertainment"
131,1,Funimation
132,8,"Media Blasters"
132,74," Discotek Media"
132,81," Tokyopop"
133,13,"4Kids Entertainment"
134,7,"Manga Entertainment"
135,1,Funimation
135,72," Geneon Entertainment USA"
136,1,Funimation
136,73," Sentai Filmworks"
137,4,"Nozomi Entertainment"
137,80," Maiden Japan"
138,5,"Geneon Entertainment USA"
139,14,"Central Park Media"
140,6,"ADV Films"
140,79," Funimation"
141,4,"Nozomi Entertainment"
142,6,"ADV Films"
143,15,GKIDS
144,6,"ADV Films"
145,1,Funimation
146,1,Funimation
146,71," Bandai Entertainment"
147,11,"Bandai Entertainment"
147,73," Sentai Filmworks"
147,74," Discotek Media"
148,10,"Sentai Filmworks"
148,72," Geneon Entertainment USA"
149,16,"Flatiron Film Company"
149,72," Geneon Entertainment USA"
150,17,"Urban Vision"
151,7,"Manga Entertainment"
152,12,"Discotek Media"
152,72," Geneon Entertainment USA"
153,12,"Discotek Media"
153,72," Geneon Entertainment USA"
155,1,Funimation
156,12,"Discotek Media"
156,72," Geneon Entertainment USA"
158,1,Funimation
158,72," Geneon Entertainment USA"
159,1,Funimation
159,72," Geneon Entertainment USA"
160,1,Funimation
160,71," Bandai Entertainment"
162,6,"ADV Films"
162,79," Funimation"
163,1,Funimation
163,81," Tokyopop"
164,1,Funimation
164,81," Tokyopop"
165,1,Funimation
167,1,Funimation
167,71," Bandai Entertainment"
168,11,"Bandai Entertainment"
168,74," Discotek Media"
169,11,"Bandai Entertainment"
170,11,"Bandai Entertainment"
171,6,"ADV Films"
173,4,"Nozomi Entertainment"
173,71," Bandai Entertainment"
174,4,"Nozomi Entertainment"
174,71," Bandai Entertainment"
176,1,Funimation
177,18,"Walt Disney Studios"
177,82," GKIDS"
180,1,Funimation
180,71," Bandai Entertainment"
181,19,"NuTech Digital"
182,6,"ADV Films"
182,73," Sentai Filmworks"
183,1,Funimation
183,72," Geneon Entertainment USA"
184,1,Funimation
184,83," Central Park Media"
185,1,Funimation
185,83," Central Park Media"
186,20,"Aniplex of America"
186,84," Manga Entertainment"
187,20,"Aniplex of America"
187,72," Geneon Entertainment USA"
188,3,"VIZ Media"
189,21,"Adult Source Media"
190,14,"Central Park Media"
190,74," Discotek Media"
193,10,"Sentai Filmworks"
195,22,"SoftCel Pictures"
196,6,"ADV Films"
196,85," Nozomi Entertainment"
197,6,"ADV Films"
197,85," Nozomi Entertainment"
199,8,"Media Blasters"
199,86," SoftCel Pictures"
200,6,"ADV Films"
200,73," Sentai Filmworks"
201,1,Funimation
202,1,Funimation
203,6,"ADV Films"
204,1,Funimation
204,87," Synch-Point"
205,1,Funimation
206,4,"Nozomi Entertainment"
206,77," NYAV Post"
207,5,"Geneon Entertainment USA"
208,8,"Media Blasters"
208,77," NYAV Post"
209,23,Nelvana
209,88," NIS America"
209,109," Inc."
209,72," Geneon Entertainment USA"
211,11,"Bandai Entertainment"
212,1,Funimation
212,89," Crunchyroll"
213,6,"ADV Films"
214,1,Funimation
214,71," Bandai Entertainment"
215,3,"VIZ Media"
215,74," Discotek Media"
216,1,Funimation
216,72," Geneon Entertainment USA"
217,8,"Media Blasters"
218,1,Funimation
218,72," Geneon Entertainment USA"
219,8,"Media Blasters"
219,77," NYAV Post"
220,4,"Nozomi Entertainment"
222,12,"Discotek Media"
222,81," Tokyopop"
223,24,Tokyopop
224,25,"Bandai Visual USA"
226,3,"VIZ Media"
227,3,"VIZ Media"
227,90," Flatiron Film Company"
228,12,"Discotek Media"
229,6,"ADV Films"
230,1,Funimation
231,1,Funimation
233,6,"ADV Films"
234,1,Funimation
234,72," Geneon Entertainment USA"
237,6,"ADV Films"
240,12,"Discotek Media"
240,72," Geneon Entertainment USA"
241,12,"Discotek Media"
241,72," Geneon Entertainment USA"
242,12,"Discotek Media"
243,8,"Media Blasters"
243,80," Maiden Japan"
244,1,Funimation
244,72," Geneon Entertainment USA"
245,6,"ADV Films"
245,91," Media Blasters"
245,74," Discotek Media"
246,3,"VIZ Media"
247,1,Funimation
247,72," Geneon Entertainment USA"
248,1,Funimation
248,72," Geneon Entertainment USA"
249,6,"ADV Films"
249,79," Funimation"
250,10,"Sentai Filmworks"
250,72," Geneon Entertainment USA"
251,1,Funimation
252,26,"Maiden Japan"
253,10,"Sentai Filmworks"
253,72," Geneon Entertainment USA"
254,10,"Sentai Filmworks"
254,72," Geneon Entertainment USA"
255,5,"Geneon Entertainment USA"
256,12,"Discotek Media"
256,72," Geneon Entertainment USA"
261,6,"ADV Films"
262,11,"Bandai Entertainment"
262,73," Sentai Filmworks"
263,27,"Anime Midstream"
264,1,Funimation
265,23,Nelvana
265,74," Discotek Media"
266,4,"Nozomi Entertainment"
266,74," Discotek Media"
267,1,Funimation
267,71," Bandai Entertainment"
269,11,"Bandai Entertainment"
270,10,"Sentai Filmworks"
270,87," Synch-Point"
271,6,"ADV Films"
271,73," Sentai Filmworks"
272,6,"ADV Films"
272,73," Sentai Filmworks"
273,11,"Bandai Entertainment"
274,8,"Media Blasters"
275,1,Funimation
