anime_id,title
1,"Cowboy Bebop"
2,"Cowboy Bebop: Tengoku no Tobira"
3,Trigun
4,"Witch Hunter Robin"
5,"Bouken Ou Beet"
6,"Eyeshield 21"
7,"Hachimitsu to Clover"
8,"Hungry Heart: Wild Striker"
9,"Initial D Fourth Stage"
10,Monster
11,Naruto
12,"One Piece"
13,"Tennis no Ouji-sama"
14,"Ring ni Kakero 1"
15,"School Rumble"
16,Sunabouzu
17,Texhnolyze
18,"Trinity Blood"
19,"Yakitate!! Japan"
20,Zipang
21,"Neon Genesis Evangelion"
22,"Neon Genesis Evangelion: Death & Rebirth"
23,"Neon Genesis Evangelion: The End of Evangelion"
24,"Kenpuu Denki Berserk"
25,"Koukaku Kidoutai"
26,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen"
27,"Rurouni Kenshin: Meiji Kenkaku Romantan"
28,"Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka"
29,Akira
30,.hack//Sign
31,"Aa! Megami-sama!"
32,"Aa! Megami-sama! (TV)"
33,"Tenshi Kinryouku"
34,"Kidou Tenshi Angelic Layer"
35,"Ai Yori Aoshi"
36,"Appleseed (Movie)"
37,"Arc the Lad"
38,Avenger
39,Beck
40,"Blue Gender"
41,Chobits
42,"Chrno Crusade"
43,D.N.Angel
44,"D.C.: Da Capo"
45,DearS
46,"Rozen Maiden"
47,"Rozen Maiden: TrÃ¤umend"
48,"Azumanga Daioh"
49,"Basilisk: Kouga Ninpou Chou"
50,"Black Cat (TV)"
51,"Cluster Edge"
52,"Full Metal Panic!"
53,"Full Metal Panic? Fumoffu"
54,"Full Metal Panic! The Second Raid"
55,"Gakuen Alice"
56,"Soukyuu no Fafner: Dead Aggressor"
57,"Mahou Shoujo Lyrical Nanoha"
58,"Mahou Shoujo Lyrical Nanoha A's"
59,Shuffle!
60,"Mobile Suit Gundam"
61,"Mobile Suit Gundam: The 08th MS Team"
62,"Mobile Suit Gundam 0080: War in the Pocket"
63,"Mobile Suit Gundam: The 08th MS Team - Miller's Report"
64,"Mobile Suit Gundam 0083: Stardust Memory"
65,"Mobile Suit Zeta Gundam"
66,"Mobile Suit Gundam ZZ"
67,"Mobile Suit Gundam: Char's Counterattack"
68,"Mobile Suit Gundam F91"
69,"Mobile Suit Victory Gundam"
70,"Mobile Suit Gundam Wing"
71,"Mobile Suit Gundam Wing: Endless Waltz"
72,"After War Gundam X"
73,"Mobile Suit Gundam SEED"
74,"Mobile Suit Gundam SEED Destiny"
75,"Turn A Gundam"
76,"Mobile Fighter G Gundam"
77,"Last Exile"
78,Mai-HiME
79,Mai-Otome
80,"Shin Shirayuki-hime Densetsu PrÃ©tear"
81,Air
82,"Aishiteruze Babyâ˜…â˜…"
83,"Akazukin Chacha"
84,"Ayashi no Ceres"
85,"Boys Be..."
86,"Hana yori Dango"
87,"Ou Dorobou Jing"
88,"Ou Dorobou Jing in Seventh Heaven"
89,"Bakuretsu Tenshi"
90,"Chuuka Ichiban!"
91,"Corrector Yui"
92,"Chou Henshin Cosprayers"
93,"Uchuu no Stellvia"
94,"Sakigake!! Cromartie Koukou"
95,"El Hazard: The Alternative World"
96,"El Hazard: The Wanderers"
97,"El Hazard: The Magnificent World"
98,"El Hazard 2: The Magnificent World"
99,"Final Approach"
100,"Fruits Basket"
101,"Fullmetal Alchemist"
102,"Full Moon wo Sagashite"
103,"Fushigi Yuugi"
104,"Fushigi Yuugi: Eikouden"
105,Futakoi
106,"Futakoi Alternative"
107,"Gate Keepers"
108,"Gate Keepers 21"
109,"Gensoumaden Saiyuuki"
110,"Saiyuuki Reload"
111,"Saiyuuki Reload Gunlock"
112,GetBackers
113,"Green Green"
114,"Gunslinger Girl"
115,"Hikaru no Go"
116,"Hunter x Hunter"
117,"Hunter x Hunter: Original Video Animation"
118,"Hunter x Hunter: Greed Island"
119,"Hunter x Hunter: Greed Island Final"
120,Jinki:Extend
121,"Kamikaze Kaitou Jeanne"
122,"Kannazuki no Miko"
123,Kanon
124,"Kareshi Kanojo no Jijou"
125,"Kono Minikuku mo Utsukushii Sekai"
126,"Kimi ga Nozomu Eien"
127,"Kita e.: Diamond Dust Drops"
128,Loveless
129,Blood+
130,"Re: Cutey Honey"
131,"Solty Rei"
132,"Juuni Kokuki"
133,"Shaman King"
134,X/1999
135,X
136,"Mahou Sensei Negima!"
137,"Maria-sama ga Miteru"
138,"Boukyaku no Senritsu"
139,"Ima, Soko ni Iru Boku"
140,"Peace Maker Kurogane"
141,"Pita Ten"
142,"Power Stone"
143,"Mononoke Hime"
144,RahXephon
145,"Samurai 7"
146,"Scrapped Princess"
147,s.CRY.ed
148,"Shingetsutan Tsukihime"
149,"Slam Dunk"
150,"Strange Dawn"
151,Tactics
152,"Tenjou Tenge"
153,"Tokyo Underground"
154,"Triangle Heart: Sweet Songs Forever"
155,"Tsubasa Chronicle"
156,"Ultra Maniac"
157,"Ultra Maniac OVA"
158,Vandread
159,"Vandread: The Second Stage"
160,"Tenkuu no Escaflowne"
161,Whistle!
162,"Xenosaga The Animation"
163,"Initial D First Stage"
164,"Initial D Second Stage"
165,"Initial D Third Stage"
166,"Gosenzo San'e"
167,"Love Hina"
168,"Love Hina Again"
169,"Love Hina Christmas Special: Silent Eve"
170,"Love Hina Haru Special: Kimi Sakura Chiru Nakare!!"
