anime_id,producer_id,producers
1,1,"Bansai Visual"
2,2,Sunrise
2,822," Bandai Visual"
3,3,"Victor Entertainment"
4,4,"TV Tokyo"
4,822," Bandai Visual"
4,823," Dentsu"
4,861," Victor Entertainment"
5,4,"TV Tokyo"
5,823," Dentsu"
6,824," Nihon Ad Systems"
6,862," TV Tokyo Music"
6,864," Shueisha"
6,4,"TV Tokyo"
7,5,Genco
7,825," Fuji TV"
7,864," Shueisha"
9,826," Studio Jack"
9,6,"OB Planning"
10,7,VAP
10,827," Shogakukan-Shueisha Productions"
10,871," Nippon Television Network"
11,828," Aniplex"
11,864," Shueisha"
11,4,"TV Tokyo"
12,8,"Fuji TV"
12,829," TAP"
12,864," Shueisha"
13,824," Nihon Ad Systems"
13,9,"Production I.G"
15,4,"TV Tokyo"
15,830," Sotsu"
15,906," Marvelous"
15,845," Starchild Records"
15,870," Media Factory"
15,934," DAX Production"
15,826," Studio Jack"
16,10,GDH
16,831," Pony Canyon"
16,1219," CBC"
17,832," Rondo Robe"
17,825," Fuji TV"
17,847," Pioneer LDC"
17,11,"Group TAC"
19,4,"TV Tokyo"
19,828," Aniplex"
19,891," d-rights"
19,937," Tohokushinsha Film Corporation"
19,856," Atelier Musa"
20,12,Marvelous
20,833," TBS"
21,834," Kadokawa Shoten"
21,824," Nihon Ad Systems"
21,878," Audio Tanaka"
21,4,"TV Tokyo"
22,13,Movic
22,835," Sega"
22,862," TV Tokyo Music"
22,878," Audio Tanaka"
23,915," Movic"
23,835," Sega"
23,862," TV Tokyo Music"
23,878," Audio Tanaka"
23,4,"TV Tokyo"
23,836," Toei Animation"
23,834," Kadokawa Shoten"
24,837," Hakusensha"
24,871," Nippon Television Network"
24,7,VAP
25,14,"Bandai Visual"
25,838," Kodansha"
26,15,Aniplex
27,15,Aniplex
27,839," SME Visual Works"
27,825," Fuji TV"
28,840," Sony Music Entertainment"
28,8,"Fuji TV"
29,16,"Mainichi Broadcasting System"
29,838," Kodansha"
29,844," Toho"
30,841," Yomiko Advertising"
30,898," Bandai"
30,1057," CyberConnect2"
30,14,"Bandai Visual"
31,14,"Bandai Visual"
31,842," KSS"
31,831," Pony Canyon"
31,833," TBS"
31,838," Kodansha"
31,960," Half H.P Studio"
31,919," Nichion"
32,14,"Bandai Visual"
32,833," TBS"
32,851," Imagine"
33,843," AIC"
33,850," Lantis"
