anime_id,rating_id,rating,rating_description
1,1,R17+,"violence & profanity"
2,1,R17+,"violence & profanity"
3,2,PG13,"Teens 13 or older"
4,2,PG13,"Teens 13 or older"
5,3,PG,Children
6,2,PG13,"Teens 13 or older"
7,2,PG13,"Teens 13 or older"
8,2,PG13,"Teens 13 or older"
9,2,PG13,"Teens 13 or older"
10,4,R+,"Mild Nudity"
11,2,PG13,"Teens 13 or older"
12,2,PG13,"Teens 13 or older"
13,2,PG13,"Teens 13 or older"
14,3,PG,Children
15,2,PG13,"Teens 13 or older"
16,1,R17+,"violence & profanity"
17,4,R+,"Mild Nudity"
18,1,R17+,"violence & profanity"
19,2,PG13,"Teens 13 or older"
20,2,PG13,"Teens 13 or older"
21,2,PG13,"Teens 13 or older"
22,1,R17+,"violence & profanity"
23,4,R+,"Mild Nudity"
24,4,R+,"Mild Nudity"
25,4,R+,"Mild Nudity"
26,1,R17+,"violence & profanity"
27,2,PG13,"Teens 13 or older"
28,1,R17+,"violence & profanity"
29,4,R+,"Mild Nudity"
30,2,PG13,"Teens 13 or older"
31,2,PG13,"Teens 13 or older"
32,2,PG13,"Teens 13 or older"
33,4,R+,"Mild Nudity"
34,2,PG13,"Teens 13 or older"
35,2,PG13,"Teens 13 or older"
36,1,R17+,"violence & profanity"
37,1,R17+,"violence & profanity"
38,1,R17+,"violence & profanity"
39,1,R17+,"violence & profanity"
40,4,R+,"Mild Nudity"
41,2,PG13,"Teens 13 or older"
42,1,R17+,"violence & profanity"
43,2,PG13,"Teens 13 or older"
44,2,PG13,"Teens 13 or older"
45,4,R+,"Mild Nudity"
46,2,PG13,"Teens 13 or older"
47,2,PG13,"Teens 13 or older"
48,2,PG13,"Teens 13 or older"
49,1,R17+,"violence & profanity"
50,2,PG13,"Teens 13 or older"
51,2,PG13,"Teens 13 or older"
52,1,R17+,"violence & profanity"
53,2,PG13,"Teens 13 or older"
54,1,R17+,"violence & profanity"
55,5,G,"All Ages"
56,2,PG13,"Teens 13 or older"
57,2,PG13,"Teens 13 or older"
58,2,PG13,"Teens 13 or older"
59,4,R+,"Mild Nudity"
60,2,PG13,"Teens 13 or older"
61,2,PG13,"Teens 13 or older"
62,2,PG13,"Teens 13 or older"
63,2,PG13,"Teens 13 or older"
64,2,PG13,"Teens 13 or older"
65,2,PG13,"Teens 13 or older"
66,2,PG13,"Teens 13 or older"
67,2,PG13,"Teens 13 or older"
68,2,PG13,"Teens 13 or older"
69,2,PG13,"Teens 13 or older"
70,2,PG13,"Teens 13 or older"
71,2,PG13,"Teens 13 or older"
72,2,PG13,"Teens 13 or older"
73,1,R17+,"violence & profanity"
74,1,R17+,"violence & profanity"
75,2,PG13,"Teens 13 or older"
76,2,PG13,"Teens 13 or older"
77,2,PG13,"Teens 13 or older"
78,2,PG13,"Teens 13 or older"
79,2,PG13,"Teens 13 or older"
80,2,PG13,"Teens 13 or older"
81,2,PG13,"Teens 13 or older"
82,2,PG13,"Teens 13 or older"
83,5,G,"All Ages"
84,1,R17+,"violence & profanity"
85,2,PG13,"Teens 13 or older"
86,2,PG13,"Teens 13 or older"
87,2,PG13,"Teens 13 or older"
88,2,PG13,"Teens 13 or older"
89,2,PG13,"Teens 13 or older"
90,2,PG13,"Teens 13 or older"
91,3,PG,Children
92,2,PG13,"Teens 13 or older"
93,2,PG13,"Teens 13 or older"
94,2,PG13,"Teens 13 or older"
95,2,PG13,"Teens 13 or older"
96,2,PG13,"Teens 13 or older"
97,2,PG13,"Teens 13 or older"
98,2,PG13,"Teens 13 or older"
99,2,PG13,"Teens 13 or older"
100,2,PG13,"Teens 13 or older"
101,2,PG13,"Teens 13 or older"
102,2,PG13,"Teens 13 or older"
103,2,PG13,"Teens 13 or older"
104,2,PG13,"Teens 13 or older"
105,2,PG13,"Teens 13 or older"
106,2,PG13,"Teens 13 or older"
107,2,PG13,"Teens 13 or older"
108,2,PG13,"Teens 13 or older"
109,1,R17+,"violence & profanity"
110,2,PG13,"Teens 13 or older"
111,2,PG13,"Teens 13 or older"
112,2,PG13,"Teens 13 or older"
113,4,R+,"Mild Nudity"
114,1,R17+,"violence & profanity"
115,2,PG13,"Teens 13 or older"
116,2,PG13,"Teens 13 or older"
117,2,PG13,"Teens 13 or older"
118,2,PG13,"Teens 13 or older"
119,2,PG13,"Teens 13 or older"
120,1,R17+,"violence & profanity"
121,2,PG13,"Teens 13 or older"
122,2,PG13,"Teens 13 or older"
123,5,G,"All Ages"
124,2,PG13,"Teens 13 or older"
125,4,R+,"Mild Nudity"
126,4,R+,"Mild Nudity"
127,2,PG13,"Teens 13 or older"
128,2,PG13,"Teens 13 or older"
129,1,R17+,"violence & profanity"
130,4,R+,"Mild Nudity"
131,1,R17+,"violence & profanity"
132,2,PG13,"Teens 13 or older"
133,2,PG13,"Teens 13 or older"
134,1,R17+,"violence & profanity"
135,4,R+,"Mild Nudity"
136,2,PG13,"Teens 13 or older"
137,2,PG13,"Teens 13 or older"
138,2,PG13,"Teens 13 or older"
139,1,R17+,"violence & profanity"
140,1,R17+,"violence & profanity"
141,5,G,"All Ages"
142,3,PG,Children
143,2,PG13,"Teens 13 or older"
144,2,PG13,"Teens 13 or older"
145,2,PG13,"Teens 13 or older"
146,2,PG13,"Teens 13 or older"
147,2,PG13,"Teens 13 or older"
148,1,R17+,"violence & profanity"
149,2,PG13,"Teens 13 or older"
150,3,PG,Children
151,2,PG13,"Teens 13 or older"
152,1,R17+,"violence & profanity"
153,2,PG13,"Teens 13 or older"
154,2,PG13,"Teens 13 or older"
155,2,PG13,"Teens 13 or older"
156,5,G,"All Ages"
157,5,G,"All Ages"
158,2,PG13,"Teens 13 or older"
159,2,PG13,"Teens 13 or older"
160,2,PG13,"Teens 13 or older"
161,5,G,"All Ages"
162,2,PG13,"Teens 13 or older"
163,2,PG13,"Teens 13 or older"
164,2,PG13,"Teens 13 or older"
165,2,PG13,"Teens 13 or older"
166,6,Rx,Hentai
167,2,PG13,"Teens 13 or older"
168,2,PG13,"Teens 13 or older"
169,2,PG13,"Teens 13 or older"
170,2,PG13,"Teens 13 or older"
171,4,R+,"Mild Nudity"
172,4,R+,"Mild Nudity"
173,2,PG13,"Teens 13 or older"
174,2,PG13,"Teens 13 or older"
175,4,R+,"Mild Nudity"
176,4,R+,"Mild Nudity"
177,3,PG,Children
178,2,PG13,"Teens 13 or older"
179,4,R+,"Mild Nudity"
180,2,PG13,"Teens 13 or older"
181,6,Rx,Hentai
182,2,PG13,"Teens 13 or older"
183,1,R17+,"violence & profanity"
184,2,PG13,"Teens 13 or older"
185,1,R17+,"violence & profanity"
186,2,PG13,"Teens 13 or older"
187,2,PG13,"Teens 13 or older"
188,4,R+,"Mild Nudity"
189,6,Rx,Hentai
190,2,PG13,"Teens 13 or older"
191,6,Rx,Hentai
192,6,Rx,Hentai
193,2,PG13,"Teens 13 or older"
194,2,PG13,"Teens 13 or older"
195,6,Rx,Hentai
196,2,PG13,"Teens 13 or older"
197,1,R17+,"violence & profanity"
198,6,Rx,Hentai
199,6,Rx,Hentai
200,4,R+,"Mild Nudity"
201,2,PG13,"Teens 13 or older"
202,2,PG13,"Teens 13 or older"
203,4,R+,"Mild Nudity"
204,2,PG13,"Teens 13 or older"
205,1,R17+,"violence & profanity"
206,1,R17+,"violence & profanity"
207,1,R17+,"violence & profanity"
208,3,PG,Children
209,3,PG,Children
210,5,G,"All Ages"
211,5,G,"All Ages"
212,2,PG13,"Teens 13 or older"
213,2,PG13,"Teens 13 or older"
214,2,PG13,"Teens 13 or older"
215,2,PG13,"Teens 13 or older"
216,1,R17+,"violence & profanity"
217,2,PG13,"Teens 13 or older"
218,4,R+,"Mild Nudity"
219,1,R17+,"violence & profanity"
220,2,PG13,"Teens 13 or older"
221,5,G,"All Ages"
222,1,R17+,"violence & profanity"
223,2,PG13,"Teens 13 or older"
224,2,PG13,"Teens 13 or older"
225,2,PG13,"Teens 13 or older"
226,2,PG13,"Teens 13 or older"
227,2,PG13,"Teens 13 or older"
228,2,PG13,"Teens 13 or older"
229,2,PG13,"Teens 13 or older"
230,2,PG13,"Teens 13 or older"
231,2,PG13,"Teens 13 or older"
232,2,PG13,"Teens 13 or older"
233,2,PG13,"Teens 13 or older"
234,4,R+,"Mild Nudity"
235,1,R17+,"violence & profanity"
236,2,PG13,"Teens 13 or older"
237,2,PG13,"Teens 13 or older"
238,2,PG13,"Teens 13 or older"
239,2,PG13,"Teens 13 or older"
240,2,PG13,"Teens 13 or older"
241,2,PG13,"Teens 13 or older"
242,2,PG13,"Teens 13 or older"
243,2,PG13,"Teens 13 or older"
244,1,R17+,"violence & profanity"
245,4,R+,"Mild Nudity"
246,2,PG13,"Teens 13 or older"
247,1,R17+,"violence & profanity"
248,2,PG13,"Teens 13 or older"
249,2,PG13,"Teens 13 or older"
250,2,PG13,"Teens 13 or older"
251,4,R+,"Mild Nudity"
252,4,R+,"Mild Nudity"
253,4,R+,"Mild Nudity"
254,4,R+,"Mild Nudity"
255,2,PG13,"Teens 13 or older"
256,1,R17+,"violence & profanity"
257,5,G,"All Ages"
258,2,PG13,"Teens 13 or older"
259,2,PG13,"Teens 13 or older"
260,5,G,"All Ages"
261,2,PG13,"Teens 13 or older"
262,2,PG13,"Teens 13 or older"
263,2,PG13,"Teens 13 or older"
264,2,PG13,"Teens 13 or older"
265,3,PG,Children
266,2,PG13,"Teens 13 or older"
267,2,PG13,"Teens 13 or older"
268,2,PG13,"Teens 13 or older"
269,2,PG13,"Teens 13 or older"
270,5,G,"All Ages"
271,4,R+,"Mild Nudity"
272,2,PG13,"Teens 13 or older"
273,3,PG,Children
274,2,PG13,"Teens 13 or older"
275,2,PG13,"Teens 13 or older"
276,2,PG13,"Teens 13 or older"
277,1,R17+,"violence & profanity"
278,2,PG13,"Teens 13 or older"
279,2,PG13,"Teens 13 or older"
280,5,G,"All Ages"
281,2,PG13,"Teens 13 or older"
282,4,R+,"Mild Nudity"
283,4,R+,"Mild Nudity"
284,3,PG,Children
285,2,PG13,"Teens 13 or older"
286,2,PG13,"Teens 13 or older"
287,5,G,"All Ages"
288,2,PG13,"Teens 13 or older"
289,2,PG13,"Teens 13 or older"
290,2,PG13,"Teens 13 or older"
291,2,PG13,"Teens 13 or older"
292,3,PG,Children
293,6,Rx,Hentai
294,2,PG13,"Teens 13 or older"
295,2,PG13,"Teens 13 or older"
296,4,R+,"Mild Nudity"
297,6,Rx,Hentai
298,4,R+,"Mild Nudity"
299,1,R17+,"violence & profanity"
300,4,R+,"Mild Nudity"
301,2,PG13,"Teens 13 or older"
302,2,PG13,"Teens 13 or older"
303,1,R17+,"violence & profanity"
304,5,G,"All Ages"
305,5,G,"All Ages"
306,2,PG13,"Teens 13 or older"
307,4,R+,"Mild Nudity"
308,5,G,"All Ages"
309,5,G,"All Ages"
310,3,PG,Children
311,2,PG13,"Teens 13 or older"
312,2,PG13,"Teens 13 or older"
313,2,PG13,"Teens 13 or older"
314,2,PG13,"Teens 13 or older"
315,2,PG13,"Teens 13 or older"
316,1,R17+,"violence & profanity"
317,2,PG13,"Teens 13 or older"
318,2,PG13,"Teens 13 or older"
319,2,PG13,"Teens 13 or older"
320,2,PG13,"Teens 13 or older"
321,2,PG13,"Teens 13 or older"
322,5,G,"All Ages"
323,2,PG13,"Teens 13 or older"
324,2,PG13,"Teens 13 or older"
325,5,G,"All Ages"
326,2,PG13,"Teens 13 or older"
327,5,G,"All Ages"
328,5,G,"All Ages"
329,5,G,"All Ages"
330,5,G,"All Ages"
331,4,R+,"Mild Nudity"
332,2,PG13,"Teens 13 or older"
333,1,R17+,"violence & profanity"
334,1,R17+,"violence & profanity"
335,4,R+,"Mild Nudity"
336,2,PG13,"Teens 13 or older"
337,2,PG13,"Teens 13 or older"
338,2,PG13,"Teens 13 or older"
339,2,PG13,"Teens 13 or older"
340,2,PG13,"Teens 13 or older"
341,2,PG13,"Teens 13 or older"
342,2,PG13,"Teens 13 or older"
343,4,R+,"Mild Nudity"
344,5,G,"All Ages"
345,6,Rx,Hentai
346,4,R+,"Mild Nudity"
347,2,PG13,"Teens 13 or older"
348,3,PG,Children
349,3,PG,Children
350,2,PG13,"Teens 13 or older"
351,1,R17+,"violence & profanity"
352,2,PG13,"Teens 13 or older"
353,4,R+,"Mild Nudity"
354,2,PG13,"Teens 13 or older"
355,2,PG13,"Teens 13 or older"
356,1,R17+,"violence & profanity"
357,2,PG13,"Teens 13 or older"
358,2,PG13,"Teens 13 or older"
359,4,R+,"Mild Nudity"
360,2,PG13,"Teens 13 or older"
361,4,R+,"Mild Nudity"
362,1,R17+,"violence & profanity"
363,2,PG13,"Teens 13 or older"
364,2,PG13,"Teens 13 or older"
365,3,PG,Children
366,1,R17+,"violence & profanity"
367,2,PG13,"Teens 13 or older"
368,2,PG13,"Teens 13 or older"
369,2,PG13,"Teens 13 or older"
370,2,PG13,"Teens 13 or older"
371,2,PG13,"Teens 13 or older"
