anime_id,source_id,source
1,1,Original
2,1,Original
3,2,Manga
4,1,Original
5,2,Manga
6,2,Manga
7,2,Manga
8,2,Manga
9,2,Manga
10,2,Manga
11,2,Manga
12,2,Manga
13,2,Manga
14,2,Manga
15,2,Manga
16,2,Manga
17,1,Original
18,3,Lightnovel
19,2,Manga
20,2,Manga
21,1,Original
22,1,Original
23,1,Original
24,2,Manga
25,2,Manga
26,2,Manga
27,2,Manga
28,2,Manga
29,2,Manga
30,1,Original
31,2,Manga
32,2,Manga
33,2,Manga
34,2,Manga
35,2,Manga
36,2,Manga
37,4,Game
38,1,Original
39,2,Manga
40,1,Original
41,2,Manga
42,2,Manga
43,2,Manga
44,5,Visualnovel
45,2,Manga
46,2,Manga
47,2,Manga
48,6,4-komamanga
49,2,Manga
50,2,Manga
51,1,Original
52,3,Lightnovel
53,3,Lightnovel
54,3,Lightnovel
55,2,Manga
56,1,Original
57,1,Original
58,1,Original
59,5,Visualnovel
60,1,Original
61,1,Original
62,1,Original
63,1,Original
64,1,Original
65,1,Original
66,1,Original
67,7,Novel
68,NULL,NULL
69,1,Original
70,1,Original
71,1,Original
72,1,Original
73,1,Original
74,1,Original
75,1,Original
76,1,Original
77,1,Original
78,1,Original
79,1,Original
80,2,Manga
81,5,Visualnovel
82,2,Manga
83,2,Manga
84,2,Manga
85,2,Manga
86,2,Manga
87,2,Manga
88,2,Manga
89,1,Original
90,2,Manga
91,1,Original
92,1,Original
93,1,Original
94,2,Manga
95,1,Original
96,1,Original
97,1,Original
98,1,Original
99,5,Visualnovel
100,2,Manga
101,2,Manga
102,2,Manga
103,2,Manga
104,2,Manga
105,1,Original
106,1,Original
107,4,Game
108,4,Game
109,2,Manga
110,2,Manga
111,2,Manga
112,2,Manga
113,5,Visualnovel
114,2,Manga
115,2,Manga
116,2,Manga
117,2,Manga
118,2,Manga
119,2,Manga
120,2,Manga
121,2,Manga
122,2,Manga
123,5,Visualnovel
124,2,Manga
125,1,Original
126,5,Visualnovel
127,5,Visualnovel
128,2,Manga
129,1,Original
130,2,Manga
131,1,Original
132,7,Novel
133,2,Manga
134,2,Manga
135,2,Manga
136,2,Manga
137,3,Lightnovel
138,2,Manga
139,1,Original
140,2,Manga
141,2,Manga
142,4,Game
143,1,Original
144,1,Original
145,8,Other
146,3,Lightnovel
147,1,Original
148,5,Visualnovel
149,2,Manga
150,1,Original
151,2,Manga
152,2,Manga
153,2,Manga
154,5,Visualnovel
155,2,Manga
156,2,Manga
157,NULL,NULL
158,1,Original
159,1,Original
160,1,Original
161,2,Manga
162,4,Game
163,2,Manga
164,2,Manga
165,2,Manga
166,1,Original
167,2,Manga
168,2,Manga
169,2,Manga
170,NULL,NULL
171,3,Lightnovel
172,1,Original
173,1,Original
174,1,Original
175,2,Manga
176,1,Original
177,1,Original
178,2,Manga
179,2,Manga
180,1,Original
181,5,Visualnovel
182,5,Visualnovel
183,1,Original
184,7,Novel
185,7,Novel
186,3,Lightnovel
187,3,Lightnovel
188,2,Manga
189,5,Visualnovel
190,1,Original
191,NULL,NULL
192,NULL,NULL
193,5,Visualnovel
194,5,Visualnovel
195,NULL,NULL
196,1,Original
197,1,Original
198,NULL,NULL
199,1,Original
200,1,Original
201,2,Manga
202,2,Manga
203,2,Manga
204,1,Original
205,1,Original
206,2,Manga
207,2,Manga
208,2,Manga
209,2,Manga
210,2,Manga
211,2,Manga
212,2,Manga
213,2,Manga
214,1,Original
215,2,Manga
216,7,Novel
217,2,Manga
218,2,Manga
219,2,Manga
220,2,Manga
221,7,Novel
222,2,Manga
223,2,Manga
224,5,Visualnovel
225,2,Manga
226,2,Manga
227,2,Manga
228,3,Lightnovel
229,1,Original
230,2,Manga
231,2,Manga
232,2,Manga
233,1,Original
234,2,Manga
235,2,Manga
236,NULL,NULL
237,2,Manga
238,2,Manga
239,2,Manga
240,2,Manga
241,2,Manga
242,2,Manga
243,4,Game
244,4,Game
245,2,Manga
246,2,Manga
247,2,Manga
248,1,Original
249,1,Original
250,2,Manga
251,1,Original
252,1,Original
253,2,Manga
254,2,Manga
255,4,Game
256,7,Novel
257,2,Manga
258,5,Visualnovel
259,2,Manga
260,7,Novel
261,2,Manga
262,1,Original
263,2,Manga
264,2,Manga
265,2,Manga
266,5,Visualnovel
267,3,Lightnovel
268,5,Visualnovel
269,2,Manga
270,1,Original
271,1,Original
272,1,Original
273,2,Manga
274,2,Manga
275,2,Manga
276,1,Original
277,2,Manga
278,2,Manga
279,7,Novel
280,6,4-komamanga
281,1,Original
282,2,Manga
283,1,Original
284,NULL,NULL
285,1,Original
286,1,Original
287,9,Picturebook
288,2,Manga
289,NULL,NULL
290,NULL,NULL
291,2,Manga
292,NULL,NULL
293,NULL,NULL
294,4,Game
295,1,Original
296,2,Manga
297,1,Original
298,1,Original
299,2,Manga
300,1,Original
301,1,Original
302,2,Manga
303,2,Manga
304,1,Original
305,1,Original
306,2,Manga
307,2,Manga
308,2,Manga
309,2,Manga
310,1,Original
311,2,Manga
312,2,Manga
313,5,Visualnovel
314,2,Manga
315,2,Manga
316,1,Original
317,2,Manga
318,2,Manga
319,3,Lightnovel
320,2,Manga
321,2,Manga
322,2,Manga
323,5,Visualnovel
324,4,Game
325,1,Original
326,5,Visualnovel
327,1,Original
328,1,Original
329,1,Original
330,1,Original
331,1,Original
332,3,Lightnovel
333,5,Visualnovel
334,3,Lightnovel
335,3,Lightnovel
336,2,Manga
337,4,Game
338,5,Visualnovel
339,5,Visualnovel
340,5,Visualnovel
341,2,Manga
342,2,Manga
343,1,Original
344,2,Manga
345,5,Visualnovel
346,3,Lightnovel
347,1,Original
348,2,Manga
349,2,Manga
350,2,Manga
351,NULL,NULL
352,1,Original
353,2,Manga
354,1,Original
355,1,Original
356,2,Manga
357,2,Manga
358,2,Manga
359,2,Manga
360,4,Game
361,2,Manga
362,2,Manga
363,2,Manga
364,8,Other
365,2,Manga
366,1,Original
367,2,Manga
368,4,Game
369,2,Manga
370,1,Original
371,2,Manga
372,2,Manga
373,3,Lightnovel
374,3,Lightnovel
375,3,Lightnovel
376,3,Lightnovel
377,2,Manga
378,2,Manga
379,1,Original
380,2,Manga
381,2,Manga
382,1,Original
383,10,Webmanga
384,2,Manga
385,4,Game
386,1,Original
387,2,Manga
388,5,Visualnovel
389,6,4-komamanga
390,2,Manga
391,4,Game
392,2,Manga
393,2,Manga
394,2,Manga
395,1,Original
396,1,Original
397,1,Original
398,3,Lightnovel
399,2,Manga
400,4,Game
401,1,Original
402,1,Original
403,1,Original
404,2,Manga
405,7,Novel
406,1,Original
407,1,Original
408,1,Original
409,2,Manga
410,7,Novel
411,5,Visualnovel
412,2,Manga
413,1,Original
414,1,Original
415,2,Manga
416,1,Original
417,3,Lightnovel
418,4,Game
419,NULL,NULL
420,1,Original
421,2,Manga
422,2,Manga
423,2,Manga
424,2,Manga
425,2,Manga
426,1,Original
427,1,Original
428,1,Original
429,2,Manga
430,2,Manga
431,2,Manga
432,2,Manga
433,2,Manga
434,2,Manga
435,2,Manga
436,2,Manga
437,2,Manga
438,2,Manga
439,2,Manga
440,2,Manga
441,2,Manga
442,2,Manga
443,5,Visualnovel
444,5,Visualnovel
445,1,Original
446,1,Original
447,NULL,NULL
448,3,Lightnovel
449,2,Manga
450,1,Original
451,2,Manga
452,2,Manga
453,2,Manga
454,1,Original
455,2,Manga
456,6,4-komamanga
457,3,Lightnovel
458,2,Manga
459,6,4-komamanga
460,1,Original
461,2,Manga
462,1,Original
463,1,Original
464,2,Manga
465,7,Novel
466,5,Visualnovel
467,1,Original
468,7,Novel
469,2,Manga
470,2,Manga
471,5,Visualnovel
472,4,Game
473,1,Original
474,2,Manga
475,2,Manga
476,2,Manga
477,1,Original
478,5,Visualnovel
479,4,Game
480,7,Novel
481,1,Original
482,1,Original
483,NULL,NULL
484,2,Manga
485,2,Manga
486,1,Original
487,2,Manga
488,NULL,NULL
489,2,Manga
490,2,Manga
491,1,Original
492,1,Original
493,1,Original
494,2,Manga
495,4,Game
496,4,Game
497,2,Manga
498,2,Manga
499,2,Manga
500,2,Manga
501,6,4-komamanga
502,3,Lightnovel
503,3,Lightnovel
504,3,Lightnovel
505,4,Game
506,1,Original
507,1,Original
508,1,Original
509,1,Original
510,3,Lightnovel
511,2,Manga
512,1,Original
513,5,Visualnovel
514,5,Visualnovel
515,1,Original
516,2,Manga
517,2,Manga
518,8,Other
519,2,Manga
520,1,Original
521,1,Original
522,1,Original
523,1,Original
524,2,Manga
525,1,Original
526,1,Original
527,4,Game
528,4,Game
529,2,Manga
530,1,Original
531,1,Original
532,2,Manga
533,1,Original
534,1,Original
535,3,Lightnovel
536,2,Manga
537,1,Original
538,2,Manga
539,1,Original
540,7,Novel
541,2,Manga
542,2,Manga
543,7,Novel
544,1,Original
545,8,Other
546,1,Original
547,2,Manga
548,1,Original
549,2,Manga
550,8,Other
551,3,Lightnovel
552,2,Manga
553,2,Manga
554,3,Lightnovel
555,2,Manga
556,4,Game
557,1,Original
558,2,Manga
559,2,Manga
560,2,Manga
561,8,Other
562,NULL,NULL
563,1,Original
564,1,Original
565,2,Manga
566,1,Original
567,1,Original
568,1,Original
569,1,Original
570,1,Original
571,1,Original
572,5,Visualnovel
573,2,Manga
574,5,Visualnovel
575,7,Novel
576,3,Lightnovel
577,NULL,NULL
578,1,Original
579,1,Original
580,2,Manga
581,1,Original
582,1,Original
583,4,Game
584,2,Manga
585,5,Visualnovel
586,5,Visualnovel
587,2,Manga
588,2,Manga
589,5,Visualnovel
590,2,Manga
591,2,Manga
592,1,Original
593,NULL,NULL
594,2,Manga
595,2,Manga
596,2,Manga
597,2,Manga
598,1,Original
599,1,Original
600,2,Manga
601,2,Manga
602,NULL,NULL
603,2,Manga
604,2,Manga
605,2,Manga
606,5,Visualnovel
607,5,Visualnovel
608,2,Manga
609,2,Manga
610,5,Visualnovel
611,1,Original
612,1,Original
613,NULL,NULL
614,4,Game
615,5,Visualnovel
616,2,Manga
617,6,4-komamanga
618,2,Manga
619,5,Visualnovel
620,2,Manga
621,2,Manga
622,2,Manga
623,2,Manga
624,2,Manga
625,8,Other
626,5,Visualnovel
627,8,Other
628,1,Original
629,5,Visualnovel
630,5,Visualnovel
631,1,Original
632,NULL,NULL
633,NULL,NULL
634,5,Visualnovel
635,1,Original
636,NULL,NULL
637,NULL,NULL
638,5,Visualnovel
639,NULL,NULL
640,2,Manga
641,1,Original
642,1,Original
643,2,Manga
644,2,Manga
645,5,Visualnovel
646,1,Original
647,5,Visualnovel
648,5,Visualnovel
649,1,Original
650,5,Visualnovel
651,NULL,NULL
652,5,Visualnovel
653,5,Visualnovel
654,7,Novel
655,1,Original
656,2,Manga
657,1,Original
658,NULL,NULL
659,5,Visualnovel
660,2,Manga
661,2,Manga
662,2,Manga
663,3,Lightnovel
664,1,Original
665,2,Manga
666,NULL,NULL
667,5,Visualnovel
668,5,Visualnovel
669,NULL,NULL
670,2,Manga
671,2,Manga
672,11,Music
673,3,Lightnovel
674,2,Manga
675,2,Manga
676,2,Manga
677,2,Manga
678,2,Manga
679,2,Manga
680,7,Novel
681,12,Radio
682,3,Lightnovel
683,2,Manga
684,5,Visualnovel
685,NULL,NULL
686,2,Manga
