anime_id,studio_id,studios
1,1,Sunrise
2,2,Bones
3,3,Madhouse
4,1,Sunrise
5,4,"Toei Animation"
6,5,Gallop
7,6,J.C.Staff
8,7,"Nippon Animation"
9,8,A.C.G.T.
10,3,Madhouse
11,9,"Studio Pierrot"
12,4,"Toei Animation"
13,10,"Trans Arts"
14,4,"Toei Animation"
15,11,"Studio Comet"
16,12,Gonzo
17,3,Madhouse
18,12,Gonzo
19,1,Sunrise
20,13,"Studio Deen"
21,14,Gainax
21,641," Tatsunoko Production"
22,642," Production I.G"
22,14,Gainax
23,14,Gainax
23,642," Production I.G"
24,15,OLM
25,16,"Production I.G"
26,13,"Studio Deen"
27,5,Gallop
27,643," Studio Deen"
28,5,Gallop
29,17,"Tokyo Movie Shinsha"
30,18,"Bee Train"
31,19,AIC
32,19,AIC
33,20,"Hal Film Maker"
34,2,Bones
35,6,J.C.Staff
36,21,"Digital Frontier"
37,18,"Bee Train"
38,18,"Bee Train"
38,644," Xebec"
39,3,Madhouse
40,19,AIC
41,3,Madhouse
42,12,Gonzo
43,22,Xebec
44,23,feel.
44,645," Zexcs"
45,24,Daume
46,25,Nomad
47,25,Nomad
48,6,J.C.Staff
49,12,Gonzo
50,12,Gonzo
51,1,Sunrise
52,12,Gonzo
53,26,"Kyoto Animation"
54,26,"Kyoto Animation"
55,27,"Group TAC"
56,22,Xebec
57,28,"Seven Arcs"
58,28,"Seven Arcs"
59,29,Asread
60,1,Sunrise
61,1,Sunrise
62,1,Sunrise
63,1,Sunrise
64,1,Sunrise
65,1,Sunrise
66,1,Sunrise
67,1,Sunrise
67,646," Studio Hibari"
68,1,Sunrise
69,1,Sunrise
69,643," Studio Deen"
70,1,Sunrise
71,1,Sunrise
72,1,Sunrise
73,1,Sunrise
74,1,Sunrise
75,1,Sunrise
75,647," Nakamura Production"
76,1,Sunrise
77,12,Gonzo
78,1,Sunrise
79,1,Sunrise
80,20,"Hal Film Maker"
81,26,"Kyoto Animation"
82,30,"TMS Entertainment"
83,5,Gallop
84,9,"Studio Pierrot"
85,20,"Hal Film Maker"
86,4,"Toei Animation"
87,13,"Studio Deen"
88,13,"Studio Deen"
89,12,Gonzo
90,7,"Nippon Animation"
91,7,"Nippon Animation"
92,31,Imagin
92,648," Studio Live"
93,22,Xebec
94,16,"Production I.G"
95,19,AIC
96,19,AIC
97,19,AIC
98,19,AIC
99,32,Zexcs
100,13,"Studio Deen"
101,2,Bones
102,13,"Studio Deen"
103,9,"Studio Pierrot"
104,9,"Studio Pierrot"
105,33,"Telecom Animation Film"
106,34,ufotable
106,649," feel."
106,938," Studio Flag"
107,12,Gonzo
108,12,Gonzo
109,9,"Studio Pierrot"
110,9,"Studio Pierrot"
111,9,"Studio Pierrot"
112,13,"Studio Deen"
113,35,"Studio Matrix"
114,3,Madhouse
115,9,"Studio Pierrot"
116,7,"Nippon Animation"
117,7,"Nippon Animation"
118,7,"Nippon Animation"
119,7,"Nippon Animation"
120,23,feel.
121,4,"Toei Animation"
122,36,TNK
123,4,"Toei Animation"
124,14,Gainax
124,650," J.C.Staff"
125,651," Shaft"
125,14,Gainax
126,37,"Studio Fantasia"
127,13,"Studio Deen"
128,6,J.C.Staff
129,16,"Production I.G"
130,14,Gainax
130,652," Toei Animation"
131,12,Gonzo
132,9,"Studio Pierrot"
133,22,Xebec
134,3,Madhouse
135,3,Madhouse
136,22,Xebec
137,13,"Studio Deen"
138,14,Gainax
138,650," J.C.Staff"
139,19,AIC
140,12,Gonzo
141,3,Madhouse
142,9,"Studio Pierrot"
143,38,"Studio Ghibli"
144,2,Bones
145,12,Gonzo
146,2,Bones
147,1,Sunrise
148,6,J.C.Staff
149,4,"Toei Animation"
150,20,"Hal Film Maker"
151,13,"Studio Deen"
152,3,Madhouse
153,9,"Studio Pierrot"
154,28,"Seven Arcs"
155,18,"Bee Train"
156,39,"Production Reed"
157,39,"Production Reed"
158,12,Gonzo
159,12,Gonzo
160,1,Sunrise
161,11,"Studio Comet"
162,4,"Toei Animation"
163,5,Gallop
163,653," Studio Comet"
164,40,Pastel
165,13,"Studio Deen"
167,22,Xebec
168,22,Xebec
169,22,Xebec
170,22,Xebec
171,6,J.C.Staff
172,41,Satelight
173,24,Daume
174,24,Daume
175,3,Madhouse
175,654," Imagin"
176,12,Gonzo
177,38,"Studio Ghibli"
178,30,"TMS Entertainment"
179,16,"Production I.G"
180,2,Bones
181,42,Arms
182,13,"Studio Deen"
183,43,Manglobe
184,19,AIC
185,3,Madhouse
186,13,"Studio Deen"
187,6,J.C.Staff
188,13,"Studio Deen"
190,44,APPP
194,2,Bones
196,22,Xebec
197,22,Xebec
199,42,Arms
200,42,Arms
201,4,"Toei Animation"
202,4,"Toei Animation"
203,42,Arms
204,14,Gainax
204,642," Production I.G"
205,13,"Studio Deen"
206,34,ufotable
207,4,"Toei Animation"
208,45,"Chaos Project"
208,655," GANSIS"
209,3,Madhouse
210,6,J.C.Staff
211,46,"Tokyo Kids"
212,30,"TMS Entertainment"
213,9,"Studio Pierrot"
214,2,Bones
215,9,"Studio Pierrot"
216,12,Gonzo
217,47,"Palm Studio"
218,48,"AIC Spirits"
219,3,Madhouse
220,13,"Studio Deen"
