anime_id,total_min_per_showing
1,24
2,115
3,24
4,25
5,23
6,23
7,23
8,23
9,27
10,24
11,23
12,24
13,22
14,25
15,23
16,24
17,23
18,24
19,24
20,24
21,24
22,104
23,87
24,25
25,82
26,30
27,25
28,91
29,124
30,24
31,30
32,24
33,30
34,24
35,23
36,105
37,22
38,24
39,25
40,23
41,24
42,23
43,23
44,24
45,23
46,24
47,24
48,24
49,24
50,24
51,24
52,24
53,24
54,24
55,25
56,24
57,25
58,25
59,23
60,25
61,25
62,27
63,52
64,30
65,24
66,24
67,119
68,120
69,24
70,24
71,30
72,24
73,24
74,24
75,24
76,24
77,24
78,23
79,24
80,23
81,24
82,25
83,24
84,21
85,23
86,25
87,24
88,30
89,23
90,23
91,25
92,14
93,23
94,12
95,25
96,23
97,34
98,30
99,14
100,24
101,24
102,24
103,23
104,30
105,24
106,24
107,25
108,30
109,23
110,23
111,24
112,24
113,24
114,24
115,23
116,23
117,24
118,22
119,24
120,23
121,24
122,24
123,24
124,24
125,24
126,23
127,24
128,24
129,24
130,46
131,23
132,25
133,23
134,97
135,24
136,23
137,24
138,23
139,25
140,24
141,24
142,20
143,135
144,23
145,26
146,23
147,24
148,24
149,23
150,23
151,24
152,23
153,25
154,28
155,25
156,24
157,21
158,22
159,22
160,24
161,24
162,23
163,25
164,23
165,105
166,30
167,23
168,30
169,46
170,46
171,24
172,30
173,23
174,25
175,15
176,23
177,125
178,24
179,29
180,23
181,30
182,24
183,24
184,24
185,25
186,33
187,25
188,24
189,30
190,84
191,29
192,30
193,28
194,48
195,30
196,23
197,79
198,30
199,30
200,25
201,24
202,23
203,25
204,25
205,25
206,24
207,24
208,12
209,25
210,25
211,24
212,25
213,23
214,24
215,23
216,24
217,25
218,23
219,23
220,22
221,25
222,25
223,24
224,24
225,23
226,24
227,23
228,25
229,24
230,23
231,26
232,26
233,25
234,24
235,30
236,30
237,23
238,24
239,30
240,23
241,90
242,61
243,23
244,25
245,29
246,24
247,23
248,25
249,24
250,24
251,23
252,15
253,24
254,24
255,20
256,24
257,23
258,27
259,23
260,25
261,25
262,25
263,22
264,25
265,23
266,24
267,26
268,25
269,24
270,4
271,24
272,24
273,25
274,25
275,23
276,33
277,30
278,25
279,29
280,7
281,106
282,18
283,24
284,24
285,25
286,24
287,25
288,24
289,24
290,90
291,24
292,84
293,24
294,101
295,23
296,30
297,26
298,23
299,24
300,24
301,25
302,24
303,22
304,25
305,24
306,25
307,24
308,23
309,23
310,24
311,24
312,24
313,24
314,11
315,24
316,23
317,23
318,23
319,24
320,24
321,25
322,25
323,12
324,24
325,13
326,24
327,24
328,24
329,24
330,24
331,14
332,24
333,24
334,25
335,27
336,30
337,23
338,30
339,30
340,27
341,25
342,55
343,30
344,24
345,30
346,24
347,25
348,81
349,82
350,28
351,24
352,23
353,25
354,25
355,62
356,24
357,28
358,33
359,28
360,13
361,22
362,23
363,24
364,24
365,23
366,30
367,23
368,30
369,24
370,97
371,23
372,23
373,25
374,25
375,37
376,120
377,25
378,42
379,37
380,14
381,26
382,48
383,25
384,25
385,25
386,24
387,24
388,19
389,104
390,93
391,24
392,74
393,24
394,90
395,23
396,30
397,26
398,25
399,26
400,30
401,23
402,24
403,50
404,105
405,119
406,27
407,90
408,42
409,24
410,80
411,30
412,45
413,23
414,90
415,82
416,21
417,24
418,22
419,20
420,23
421,24
422,87
423,99
424,98
425,99
426,26
427,24
428,25
429,25
430,27
431,50
432,55
433,55
434,95
435,95
436,91
437,94
438,28
439,25
440,99
441,23
442,24
443,24
444,25
445,23
446,39
447,40
448,24
449,24
450,24
451,23
452,23
453,23
454,23
455,95
456,5
457,24
458,23
459,24
460,26
461,24
462,90
463,92
464,25
465,132
466,24
467,45
468,79
469,25
470,50
471,30
472,96
473,24
474,24
475,26
476,25
477,25
478,24
479,25
480,105
481,125
482,36
483,80
484,23
485,25
486,23
487,23
488,30
489,24
490,109
491,86
492,25
493,23
494,30
495,24
496,85
497,24
498,24
499,61
500,24
501,23
502,22
503,24
504,66
505,28
506,23
507,29
508,33
509,30
510,102
511,103
512,24
513,12
514,29
515,83
516,24
517,24
518,24
519,23
520,15
521,15
522,15
523,15
524,25
525,15
526,51
527,24
528,31
529,23
530,30
531,126
532,33
533,24
534,24
535,23
536,102
537,29
538,117
539,25
540,24
541,24
542,24
543,88
544,12
545,4
546,33
547,8
548,25
549,111
550,23
551,24
552,28
553,23
554,24
555,24
556,23
557,23
558,40
559,22
560,6
561,75
562,23
563,30
564,5
565,32
566,29
567,24
568,24
569,23
570,24
571,24
572,85
573,30
574,24
575,6
576,25
577,23
578,24
579,24
580,24
581,94
582,24
583,48
584,24
585,25
586,30
587,24
588,14
589,30
590,24
591,25
592,28
593,24
594,23
595,24
596,24
597,24
598,25
599,25
600,8
601,23
602,25
603,22
604,77
605,24
606,30
607,12
608,23
609,29
610,31
611,24
612,24
613,13
614,24
615,24
616,23
617,6
618,30
619,30
620,55
621,30
622,35
623,24
624,25
625,25
626,24
627,24
628,1
629,27
630,30
631,20
632,25
633,30
634,24
635,22
636,23
637,14
638,24
639,3
640,24
641,23
642,24
643,25
644,25
645,30
646,24
647,24
648,30
649,23
650,20
651,10
652,24
653,7
654,24
655,25
656,13
657,140
658,25
659,91
660,25
661,30
662,7
663,54
664,16
665,30
666,26
667,25
668,31
669,24
670,25
671,28
672,67
673,80
674,30
675,44
676,30
677,24
678,24
679,30
680,72
681,25
682,30
683,30
684,25
685,5
686,12
687,23
688,27
689,26
690,25
691,36
692,21
693,97
694,120
695,92
696,92
697,17
698,29
699,25
700,24
701,14
702,24
703,46
704,27
705,23
706,24
707,30
708,25
709,50
710,94
711,99
712,100
713,25
714,23
715,48
716,3
717,30
718,25
719,25
720,120
721,60
722,60
723,25
724,30
725,14
726,23
727,24
728,23
729,25
730,35
731,28
732,14
733,27
734,26
735,24
736,30
737,65
738,26
739,25
740,24
741,49
742,26
743,52
744,27
745,30
746,17
747,10
748,29
749,30
750,30
751,24
752,25
753,23
754,33
755,25
756,23
757,29
758,24
759,30
760,24
761,6
762,30
763,84
764,24
765,24
766,23
767,23
768,26
769,43
770,25
771,23
772,25
773,25
774,23
775,24
776,25
777,23
778,24
779,24
780,24
781,7
782,24
783,33
784,60
785,59
786,60
787,27
788,9
789,24
790,25
791,104
792,24
793,23
794,23
795,24
796,24
797,27
798,24
799,94
800,85
801,71
802,24
803,23
804,24
805,24
806,25
807,45
808,45
809,74
810,41
811,60
812,61
813,51
814,46
815,45
816,45
817,70
818,50
819,50
820,50
821,55
822,51
823,24
824,7
825,23
826,24
827,84
828,24
829,25
830,24
831,24
832,24
833,46
834,24
835,24
836,27
837,24
838,24
839,23
840,23
841,24
842,24
843,24
844,25
845,11
846,24
847,24
848,24
849,97
850,66
851,27
852,23
853,24
854,24
855,24
856,23
857,30
858,42
859,24
860,22
861,22
862,24
863,25
864,24
865,24
866,20
867,25
868,24
869,25
870,13
871,24
872,21
873,25
874,25
875,25
876,23
877,24
878,30
879,24
880,53
881,29
882,32
883,45
884,25
885,90
886,12
887,29
888,29
889,5
890,30
891,48
892,47
893,44
894,26
895,51
896,25
897,30
898,25
899,29
900,22
901,23
902,24
903,60
904,23
905,28
906,25
907,23
908,30
909,24
910,4
911,22
912,94
913,30
914,30
915,49
916,31
917,26
918,8
919,25
920,24
921,30
922,30
923,25
924,24
925,24
926,30
927,24
928,24
929,23
930,30
931,25
932,29
933,30
934,105
935,118
936,119
937,33
938,80
939,87
940,121
941,9
942,30
943,25
944,30
945,30
946,25
947,46
948,54
949,50
950,82
951,24
952,24
953,6
954,25
955,63
956,25
957,32
958,26
959,30
960,6
961,19
962,3
963,25
964,28
965,8
966,1
967,30
968,25
969,6
970,25
971,25
972,23
973,24
974,26
975,11
976,26
977,32
978,50
979,10
980,34
981,37
982,25
983,24
984,24
985,29
986,40
987,23
988,25
989,25
990,115
991,140
992,135
993,140
994,23
995,49
996,99
997,108
998,26
999,23
1000,60
1001,30
1002,59
1003,6
1004,25
1005,25
1006,3
1007,28
1008,82
1009,24
1010,24
1011,25
1012,86
1013,78
1014,30
1015,37
1016,99
1017,80
1018,91
1019,79
1020,74
1021,81
1022,98
1023,24
1024,25
1025,47
1026,23
1027,23
1028,24
1029,100
1030,23
1031,24
1032,60
1033,24
1034,23
1035,24
1036,25
1037,95
1038,136
1039,23
1040,24
1041,95
1042,23
1043,43
1044,30
1045,47
1046,23
1047,45
1048,36
1049,30
1050,52
1051,80
1052,30
1053,27
1054,24
1055,30
1056,25
1057,85
1058,24
1059,30
1060,15
1061,23
1062,30
1063,30
1064,24
1065,37
1066,45
1067,29
1068,29
1069,23
1070,54
1071,25
1072,36
1073,28
1074,52
1075,25
1076,24
1077,30
1078,30
1079,30
1080,22
1081,32
1082,22
1083,23
1084,6
1085,24
1086,30
1087,27
1088,25
1089,24
1090,24
1091,23
1092,5
1093,25
1094,10
1095,24
1096,24
1097,99
1098,22
1099,3
1100,56
1101,96
1102,75
1103,47
1104,24
1105,115
1106,25
