anime_id,genre
1,Space
1,Adventure
1,Drama
1,Sci-Fi
1,Action
1,Comedy
2,Mystery
2,Action
2,Drama
2,Sci-Fi
2,Space
3,Comedy
3,Drama
3,Shounen
3,Sci-Fi
3,Adventure
3,Action
4,Action
4,Supernatural
4,Drama
4,Police
4,Magic
4,Mystery
5,Fantasy
5,Adventure
5,Supernatural
5,Shounen
6,Comedy
6,Sports
6,Shounen
6,Action
7,Comedy
7,Josei
7,Romance
7,SliceofLife
7,Drama
8,Comedy
8,SliceofLife
8,Shounen
8,Sports
9,Sports
9,Cars
9,Drama
9,Seinen
9,Action
10,Drama
10,Mystery
10,Police
10,Psychological
10,Seinen
10,Thriller
10,Horror
11,Adventure
11,Action
11,Shounen
11,Comedy
11,SuperPower
11,MartialArts
12,SuperPower
12,Drama
12,Adventure
12,Comedy
12,Action
12,Fantasy
12,Shounen
13,School
13,Shounen
13,Action
13,Comedy
13,Sports
14,Sports
14,Shounen
14,Action
15,Comedy
15,Romance
15,Shounen
15,School
16,Comedy
16,Shounen
16,Ecchi
16,Sci-Fi
16,Action
16,Adventure
17,Sci-Fi
17,Psychological
17,Action
17,Drama
18,Supernatural
18,Action
18,Vampire
19,Comedy
19,Shounen
20,Military
20,Historical
20,Drama
20,Action
20,Seinen
20,Sci-Fi
21,Dementia
21,Sci-Fi
21,Mecha
21,Psychological
21,Drama
21,Action
22,Drama
22,Psychological
22,Sci-Fi
22,Mecha
23,Dementia
23,Sci-Fi
23,Drama
23,Mecha
23,Psychological
24,Demons
24,Adventure
24,Drama
24,Fantasy
24,Action
24,Horror
24,Military
24,Romance
24,Seinen
24,Supernatural
25,Seinen
25,Police
25,Action
25,Mecha
25,Psychological
25,Sci-Fi
26,Romance
26,MartialArts
26,Samurai
26,Shounen
26,Historical
26,Drama
26,Action
27,Action
27,Historical
27,Romance
27,Comedy
27,Samurai
27,Shounen
27,Adventure
28,Historical
28,Samurai
28,Shounen
28,Drama
29,Sci-Fi
29,Military
29,Adventure
29,Horror
29,Supernatural
29,Seinen
29,Action
30,Game
30,Adventure
30,Fantasy
30,Sci-Fi
30,Mystery
30,Magic
31,Seinen
31,Supernatural
31,Comedy
31,Magic
31,Romance
32,Magic
32,Romance
32,Seinen
32,Supernatural
32,Comedy
33,Action
33,Romance
33,Drama
33,Shoujo
33,Supernatural
34,Drama
34,Shounen
34,Sci-Fi
34,Comedy
34,Sports
35,Comedy
35,Drama
35,Romance
35,SliceofLife
35,Harem
36,Action
36,Sci-Fi
36,Military
36,Police
36,Drama
36,Mecha
36,Shounen
37,Action
37,Horror
37,Sci-Fi
37,Fantasy
37,Adventure
38,Fantasy
38,Sci-Fi
38,Adventure
38,Shounen
39,Shounen
39,SliceofLife
39,Comedy
39,Drama
39,Music
40,Mecha
40,Horror
40,Space
40,Drama
40,Romance
40,Military
40,Sci-Fi
40,Adventure
41,Sci-Fi
41,Drama
41,Romance
41,Ecchi
41,Seinen
41,Comedy
42,Demons
42,Action
42,Supernatural
42,Historical
42,Romance
42,Shounen
43,Romance
43,Fantasy
43,Comedy
43,Magic
43,Action
43,School
43,Shoujo
44,Romance
44,Harem
44,Drama
44,Magic
45,Comedy
45,Shounen
45,Harem
45,Romance
45,Ecchi
45,Sci-Fi
46,Action
46,Drama
46,Magic
46,Seinen
46,Comedy
47,Comedy
47,Action
47,Magic
47,Seinen
47,Drama
48,School
48,Comedy
48,SliceofLife
49,Action
49,Historical
49,Adventure
49,Samurai
49,Fantasy
49,Supernatural
49,Romance
50,SuperPower
50,Shounen
50,Sci-Fi
50,Comedy
50,Adventure
51,Fantasy
51,Sci-Fi
51,Military
51,Action
52,Action
52,Military
52,Sci-Fi
52,Comedy
52,Mecha
53,Action
53,School
53,Comedy
54,Military
54,Mecha
54,Action
55,Comedy
55,SuperPower
55,Shoujo
55,School
56,Drama
56,Action
56,Mecha
56,Military
56,Sci-Fi
57,Magic
57,SuperPower
57,Comedy
57,Drama
57,Action
58,Action
58,Magic
58,SuperPower
58,Drama
58,Comedy
59,Comedy
59,Harem
59,Drama
59,Ecchi
59,Fantasy
59,School
59,Seinen
59,Magic
59,Romance
60,Space
60,Mecha
60,Military
60,Action
60,Sci-Fi
61,Mecha
61,Military
61,Romance
61,Adventure
61,Sci-Fi
61,Drama
62,Sci-Fi
62,Space
62,Drama
62,Mecha
62,Military
63,Military
63,Sci-Fi
63,Romance
63,Mecha
63,Drama
64,Adventure
64,Military
64,Space
64,Drama
64,Romance
64,Mecha
64,Sci-Fi
65,Sci-Fi
65,Space
65,Mecha
65,Military
65,Drama
65,Romance
66,Military
66,Drama
66,Comedy
66,Space
66,Mecha
66,Sci-Fi
67,Drama
67,Mecha
67,Space
67,Sci-Fi
67,Military
68,Drama
68,Mecha
68,Sci-Fi
68,Space
68,Military
69,Military
69,Sci-Fi
69,Space
69,Drama
69,Mecha
70,Military
70,Mecha
70,Action
70,Sci-Fi
70,Space
70,Drama
71,Military
71,Sci-Fi
71,Drama
71,Mecha
71,Space
71,Action
72,Sci-Fi
72,Drama
72,Mecha
72,Adventure
72,Space
73,Mecha
73,Action
73,Drama
73,Sci-Fi
73,Space
73,Military
73,Romance
74,Military
74,Romance
74,Mecha
74,Sci-Fi
74,Space
74,Action
74,Drama
75,Military
75,Adventure
75,Space
75,Action
75,Sci-Fi
75,Drama
75,Romance
75,Mecha
76,Romance
76,Sci-Fi
76,Space
76,Sports
76,Comedy
76,Drama
76,MartialArts
76,Mecha
76,Adventure
77,Action
77,Sci-Fi
