anime_id,licensor
1,Funimation
1,"Bandai Entertainment"
2,"Sony Pictures Entertainment"
3,Funimation
3,"Geneon Entertainment USA"
4,Funimation
4,"Bandai Entertainment"
6,"VIZ Media"
6,"Sentai Filmworks"
7,"VIZ Media"
7,"Discotek Media"
9,Funimation
10,"VIZ Media"
11,"VIZ Media"
12,Funimation
12,"4Kids Entertainment"
13,"VIZ Media"
15,Funimation
16,Funimation
17,Funimation
17,"Geneon Entertainment USA"
18,Funimation
19,"Nozomi Entertainment"
20,"Geneon Entertainment USA"
21,"ADV Films"
21,Netflix
22,"Manga Entertainment"
23,"Manga Entertainment"
24,"Media Blasters"
24,"NYAV Post"
25,"Manga Entertainment"
26,"ADV Films"
26,"Aniplex of America"
27,"Media Blasters"
28,"ADV Films"
28,"Aniplex of America"
29,Funimation
29,"Bandai Entertainment"
29,"Geneon Entertainment USA"
30,Funimation
30,"Bandai Entertainment"
31,AnimEigo
32,"Media Blasters"
32,"NYAV Post"
33,"Media Blasters"
34,"ADV Films"
34,"Sentai Filmworks"
35,Funimation
35,"Geneon Entertainment USA"
36,"Sentai Filmworks"
36,"Geneon Entertainment USA"
37,"ADV Films"
38,"Bandai Entertainment"
39,Funimation
40,Funimation
41,Funimation
41,"Geneon Entertainment USA"
42,"ADV Films"
42,Funimation
43,"ADV Films"
43,"Discotek Media"
45,"Discotek Media"
45,"Geneon Entertainment USA"
46,"Sentai Filmworks"
46,"Geneon Entertainment USA"
47,"Sentai Filmworks"
47,"Geneon Entertainment USA"
48,"ADV Films"
48,"Sentai Filmworks"
49,Funimation
50,Funimation
51,"Sentai Filmworks"
52,"ADV Films"
52,Funimation
53,"ADV Films"
53,Funimation
54,"ADV Films"
54,Funimation
54,"Kadokawa Pictures USA"
55,"Nozomi Entertainment"
56,Funimation
56,"Geneon Entertainment USA"
57,"Geneon Entertainment USA"
58,"Geneon Entertainment USA"
59,Funimation
60,"Nozomi Entertainment"
60,"Bandai Entertainment"
61,"Bandai Entertainment"
62,"Nozomi Entertainment"
62,"Bandai Entertainment"
63,"Bandai Entertainment"
64,"Nozomi Entertainment"
64,"Bandai Entertainment"
65,"Nozomi Entertainment"
65,"Bandai Entertainment"
66,"Nozomi Entertainment"
67,"Bandai Entertainment"
68,"Nozomi Entertainment"
68,"Bandai Entertainment"
