anime_id,media_type
1,TV
2,Movie
3,TV
4,TV
5,TV
6,TV
7,TV
8,TV
9,TV
10,TV
11,TV
12,TV
13,TV
14,TV
15,TV
16,TV
17,TV
18,TV
19,TV
20,TV
21,TV
22,Movie
23,Movie
24,TV
25,Movie
26,OVA
27,TV
28,Movie
29,Movie
30,TV
31,OVA
32,TV
33,OVA
34,TV
35,TV
36,Movie
37,TV
38,TV
39,TV
40,TV
41,TV
42,TV
43,TV
44,TV
45,TV
46,TV
47,TV
48,TV
49,TV
50,TV
51,TV
52,TV
53,TV
54,TV
55,TV
56,TV
57,TV
58,TV
59,TV
60,TV
61,OVA
62,OVA
63,Movie
64,OVA
65,TV
66,TV
67,Movie
68,Movie
69,TV
70,TV
71,OVA
72,TV
73,TV
74,TV
75,TV
76,TV
77,TV
78,TV
79,TV
80,TV
81,TV
82,TV
83,TV
84,TV
85,TV
86,TV
87,TV
88,OVA
89,TV
90,TV
91,TV
92,TV
93,TV
94,TV
95,TV
96,TV
97,OVA
98,OVA
99,TV
100,TV
101,TV
102,TV
103,TV
104,OVA
105,TV
106,TV
107,TV
108,OVA
109,TV
110,TV
111,TV
112,TV
113,TV
114,TV
115,TV
116,TV
117,OVA
118,OVA
119,OVA
120,TV
121,TV
122,TV
123,TV
124,TV
125,TV
126,TV
127,TV
128,TV
129,TV
130,OVA
131,TV
132,TV
133,TV
134,Movie
135,TV
136,TV
137,TV
138,TV
139,TV
140,TV
141,TV
142,TV
143,Movie
144,TV
145,TV
146,TV
147,TV
148,TV
149,TV
150,TV
151,TV
152,TV
153,TV
154,OVA
155,TV
156,TV
157,OVA
158,TV
159,TV
160,TV
161,TV
162,TV
163,TV
164,TV
165,Movie
166,OVA
167,TV
168,OVA
169,Special
170,Special
171,TV
172,OVA
173,TV
174,TV
175,TV
176,TV
177,Movie
178,TV
179,OVA
180,TV
181,OVA
182,TV
183,TV
184,TV
185,OVA
186,OVA
187,TV
188,TV
189,OVA
190,Movie
191,OVA
192,OVA
193,OVA
194,Movie
195,OVA
196,TV
197,Movie
198,OVA
199,OVA
200,TV
201,TV
202,TV
203,TV
204,OVA
205,TV
206,TV
207,TV
208,TV
209,TV
210,TV
211,TV
212,TV
213,TV
214,TV
215,TV
216,TV
217,TV
218,TV
219,TV
220,TV
221,TV
222,TV
223,TV
224,TV
225,TV
226,TV
227,TV
228,TV
229,TV
230,TV
231,OVA
232,OVA
233,OVA
234,TV
235,OVA
236,OVA
237,TV
238,TV
239,OVA
240,TV
241,Special
242,OVA
243,TV
244,TV
245,OVA
246,TV
247,TV
248,TV
249,TV
250,TV
251,TV
252,TV
253,TV
254,TV
255,TV
256,TV
257,TV
258,OVA
259,TV
260,TV
261,TV
262,TV
263,TV
264,TV
265,TV
266,TV
267,TV
268,TV
269,TV
270,TV
271,TV
272,TV
273,TV
274,TV
275,TV
276,OVA
277,OVA
278,TV
279,TV
280,TV
281,Movie
282,OVA
283,TV
284,TV
285,TV
286,TV
287,TV
288,TV
289,OVA
290,Movie
291,OVA
292,Movie
293,OVA
294,Movie
295,TV
296,OVA
297,OVA
298,TV
299,TV
300,TV
301,TV
302,TV
303,TV
304,TV
305,TV
306,TV
307,TV
308,TV
309,TV
310,TV
311,TV
312,TV
313,TV
314,TV
315,TV
316,TV
317,TV
318,TV
319,TV
320,TV
321,TV
322,TV
323,TV
324,TV
325,TV
326,TV
327,TV
328,TV
329,TV
330,TV
331,TV
332,TV
333,TV
334,OVA
335,OVA
336,OVA
337,TV
338,OVA
339,OVA
340,OVA
341,TV
342,OVA
343,OVA
344,OVA
345,OVA
346,TV
347,TV
348,Movie
349,Movie
350,OVA
351,OVA
352,TV
353,Special
354,OVA
355,Movie
356,TV
357,OVA
358,OVA
359,OVA
360,TV
361,TV
362,TV
363,TV
364,TV
365,TV
366,OVA
367,TV
368,OVA
369,TV
370,Movie
371,TV
372,TV
373,TV
374,TV
375,OVA
376,Special
377,TV
378,OVA
379,OVA
380,TV
381,OVA
382,Movie
383,TV
384,TV
385,Special
386,TV
387,TV
388,OVA
389,Movie
390,Movie
391,TV
392,Movie
393,TV
394,Movie
395,TV
396,OVA
397,OVA
398,TV
399,OVA
400,OVA
401,TV
402,OVA
403,OVA
404,Movie
405,Movie
406,OVA
407,Movie
408,OVA
409,TV
410,Movie
411,OVA
412,OVA
413,TV
414,Movie
415,Movie
416,OVA
417,TV
418,TV
419,TV
420,TV
421,OVA
422,Movie
423,Movie
424,Movie
425,Movie
426,OVA
427,TV
428,TV
429,TV
430,OVA
431,Movie
432,Movie
433,Movie
434,Movie
435,Movie
436,Movie
437,Movie
438,OVA
439,TV
440,Movie
441,TV
442,TV
443,TV
444,TV
445,TV
446,OVA
447,Movie
448,TV
449,TV
450,TV
451,TV
452,TV
453,TV
454,TV
455,Movie
456,TV
457,TV
458,TV
459,TV
460,TV
461,TV
462,Movie
463,Movie
464,TV
465,Movie
466,TV
467,OVA
468,OVA
469,TV
470,Movie
471,OVA
472,Movie
473,TV
474,TV
475,OVA
476,TV
477,TV
478,TV
479,TV
480,Movie
481,Movie
482,OVA
483,Movie
484,TV
485,OVA
486,TV
487,TV
488,Movie
489,TV
490,Movie
491,Movie
492,OVA
493,TV
494,OVA
495,TV
496,Movie
497,TV
498,TV
499,Movie
500,TV
501,TV
502,TV
503,TV
504,Movie
505,OVA
506,TV
507,OVA
508,OVA
509,OVA
510,Movie
511,Movie
512,TV
513,TV
514,OVA
515,Movie
516,TV
517,TV
518,TV
519,TV
520,TV
521,TV
522,OVA
523,OVA
524,TV
525,OVA
526,Special
527,TV
528,OVA
529,TV
530,OVA
531,Movie
532,OVA
533,TV
534,TV
535,TV
536,Movie
537,OVA
538,Movie
539,TV
540,ONA
541,TV
542,TV
543,Movie
544,TV
545,TV
546,OVA
547,TV
548,TV
549,Movie
550,TV
551,TV
552,OVA
553,TV
554,TV
555,TV
556,TV
557,TV
558,Special
559,OVA
560,Special
561,Movie
562,TV
563,OVA
564,TV
565,OVA
566,OVA
567,TV
568,TV
569,TV
570,TV
571,TV
572,Movie
573,OVA
574,TV
575,TV
576,TV
577,TV
578,TV
579,OVA
580,TV
581,Movie
582,TV
583,OVA
584,TV
585,TV
586,OVA
587,TV
588,TV
589,OVA
590,TV
591,TV
592,OVA
593,TV
594,Special
595,Special
596,TV
597,TV
598,TV
599,TV
600,TV
601,Special
602,Special
603,Special
604,Special
605,TV
606,OVA
607,TV
608,TV
609,OVA
610,OVA
611,TV
612,TV
613,Special
614,TV
615,Special
616,TV
617,Special
618,OVA
619,OVA
620,Special
621,OVA
622,OVA
623,TV
624,TV
625,OVA
626,TV
627,TV
628,Special
629,OVA
630,OVA
631,TV
632,TV
633,OVA
634,OVA
635,TV
636,OVA
637,TV
638,TV
639,Special
640,TV
641,TV
642,Special
643,TV
644,TV
645,OVA
646,TV
647,TV
648,OVA
649,TV
650,Special
651,Movie
652,TV
653,Special
654,TV
655,TV
656,TV
657,Movie
658,TV
659,Movie
660,TV
661,OVA
662,TV
663,OVA
664,TV
665,OVA
666,Movie
667,OVA
668,OVA
669,TV
670,TV
671,OVA
672,Music
673,Movie
674,OVA
675,OVA
676,OVA
677,TV
678,TV
679,OVA
680,Special
681,TV
682,OVA
683,OVA
684,OVA
685,TV
686,TV
687,TV
688,OVA
689,OVA
690,TV
691,OVA
692,ONA
693,Movie
694,Movie
695,Movie
696,Movie
697,Special
698,Special
699,TV
700,TV
701,Special
702,OVA
703,OVA
704,OVA
705,OVA
706,TV
707,OVA
708,TV
709,OVA
710,Movie
711,Movie
712,Movie
713,TV
714,TV
715,OVA
716,TV
717,OVA
718,TV
719,TV
720,Movie
721,Movie
722,Movie
723,TV
724,Movie
725,OVA
726,TV
727,TV
728,TV
729,TV
730,Movie
731,OVA
732,TV
733,OVA
734,TV
735,TV
736,Movie
737,Movie
738,OVA
739,TV
740,OVA
741,OVA
742,OVA
743,OVA
744,OVA
745,OVA
746,OVA
747,ONA
748,OVA
749,OVA
750,OVA
751,TV
752,TV
753,TV
754,Special
