anime_id,producer
1,"Bandai Visual"
2,Sunrise
2,"Bandai Visual"
3,"Victor Entertainment"
4,"TV Tokyo"
4,"Bandai Visual"
4,Dentsu
4,"Victor Entertainment"
5,"TV Tokyo"
5,Dentsu
6,"Nihon Ad Systems"
6,"TV Tokyo Music"
6,Shueisha
6,"TV Tokyo"
7,Genco
7,"Fuji TV"
7,Shueisha
9,"Studio Jack"
9,"OB Planning"
10,VAP
10,"Shogakukan-Shueisha Productions"
10,"Nippon Television Network"
11,Aniplex
11,Shueisha
11,"TV Tokyo"
12,"Fuji TV"
12,TAP
12,Shueisha
13,"Nihon Ad Systems"
13,"Production I.G"
15,"TV Tokyo"
15,Sotsu
15,Marvelous
15,"Starchild Records"
15,"Media Factory"
15,"DAX Production"
15,"Studio Jack"
16,GDH
16,"Pony Canyon"
16,CBC
17,"Rondo Robe"
17,"Fuji TV"
17,"Pioneer LDC"
17,"Group TAC"
19,"TV Tokyo"
19,Aniplex
19,d-rights
19,"Tohokushinsha Film Corporation"
19,"Atelier Musa"
20,Marvelous
20,TBS
21,"Kadokawa Shoten"
21,"Nihon Ad Systems"
21,"Audio Tanaka"
21,"TV Tokyo"
22,Movic
22,Sega
22,"TV Tokyo Music"
22,"Audio Tanaka"
23,Movic
23,Sega
23,"TV Tokyo Music"
23,"Audio Tanaka"
23,"TV Tokyo"
23,"Toei Animation"
23,"Kadokawa Shoten"
24,Hakusensha
24,"Nippon Television Network"
24,VAP
25,"Bandai Visual"
25,Kodansha
26,Aniplex
27,Aniplex
27,"SME Visual Works"
27,"Fuji TV"
28,"Sony Music Entertainment"
28,"Fuji TV"
29,"Mainichi Broadcasting System"
29,Kodansha
29,Toho
30,"Yomiko Advertising"
30,Bandai
30,CyberConnect2
30,"Bandai Visual"
31,"Bandai Visual"
31,KSS
31,"Pony Canyon"
31,TBS
31,Kodansha
31,"Half H.P Studio"
31,Nichion
32,"Bandai Visual"
32,TBS
32,Imagine
33,AIC
33,Lantis
33,"Audio Tanaka"
33,"Bandai Visual"
34,"TV Tokyo Music"
35,Movic
35,"Fuji TV"
35,"Pioneer LDC"
35,"Cosmic Ray"
36,TYO
36,"Mainichi Broadcasting System"
36,Toho
36,"TYO Animations"
37,Aniplex
37,"Sony Pictures Entertainment"
38,"Production I.G"
39,Marvelous
39,Kodansha
39,"Starchild Records"
39,"Asatsu DK"
40,"Toshiba EMI"
40,Youmex
41,TBS
41,"Pioneer LDC"
42,"Kadokawa Shoten"
42,"Fuji TV"
42,Lantis
43,"Kadokawa Shoten"
44,Lantis
44,"King Records"
45,"Hal Film Maker"
45,Genco
45,"Bandai Visual"
45,Lantis
46,Memory-Tech
46,"Studio Jack"
46,"Pony Canyon"
46,TBS
46,"Mellow Head"
47,"Mellow Head"
47,TBS
48,Lantis
48,Imagica
48,"TV Tokyo Music"
48,"Cosmic Ray"
48,"King Records"
48,Genco
49,GDH
49,Kodansha
49,"Sotsu Music Publishing"
50,Dentsu
50,TBS
50,GDH
50,"Sotsu Music Publishing"
51,Imagine
51,"Bandai Visual"
52,"Kadokawa Shoten"
53,"Tatsunoko Production"
53,Imagica
53,Rakuonsha
53,"Kadokawa Pictures Japan"
53,KlockWorx
53,"Happinet Pictures"
53,"Animation Do"
53,"Kadokawa Shoten"
53,"Fuji TV"
54,"Happinet Pictures"
54,"Kadokawa Shoten"
55,Aniplex
55,"Sogo Vision"
56,"King Records"
56,"TV Tokyo Music"
57,"Starchild Records"
57,"Omnibus Japan"
58,"Omnibus Japan"
58,"Starchild Records"
59,Xebec
59,Lantis
59,Memory-Tech
60,"Nagoya Broadcasting Network"
60,Sotsu
61,"Atelier Musa"
62,"Bandai Visual"
63,Sotsu
63,"Atelier Musa"
64,"Bandai Visual"
65,Sotsu
65,"Nagoya Broadcasting Network"
66,"Nagoya Broadcasting Network"
66,Sotsu
67,Sotsu
67,"Nozomi Entertainment"
67,"Atelier Musa"
68,Shochiku
68,"Atelier Musa"
68,Sotsu
68,"Nagoya Broadcasting Network"
69,Sotsu
69,Apollon
69,"TV Asahi"
70,"TV Asahi"
71,"Bandai Visual"
71,Sotsu
72,Sotsu
72,"TV Asahi"
73,Sotsu
73,"Sony Music Entertainment"
73,"Atelier Musa"
73,"Asatsu DK"
73,"Mainichi Broadcasting System"
74,"Mainichi Broadcasting System"
74,"Sony Music Entertainment"
74,Sotsu
75,Sotsu
75,"Fuji TV"
76,Sotsu
76,"TV Asahi"
77,GDH
77,"Victor Entertainment"
77,"TV Tokyo Music"
78,"TV Tokyo Music"
78,"Studio Zain"
78,"Bandai Visual"
79,"Bandai Visual"
79,Lantis
79,"TV Tokyo Music"
80,"Rondo Robe"
80,"Kadokawa Shoten"
81,"Pony Canyon"
81,TBS
81,Movic
82,"Toei Video"
82,"Sunny Side Up"
82,Animax
83,"Nihon Ad Systems"
83,Shueisha
84,"Bandai Visual"
87,Aniplex
88,Aniplex
89,GDH
89,"TV Asahi"
89,Imagica
91,"Studio Tron"
91,NHK
92,m.o.e.
93,"Starchild Records"
93,"TV Tokyo Music"
94,"TV Tokyo Music"
95,"Pioneer LDC"
96,"TV Tokyo"
96,"Geneon Universal Entertainment"
96,SoftX
96,"Pioneer LDC"
96,"TV Tokyo Music"
96,"Atelier Musa"
97,"Pioneer LDC"
98,"Pioneer LDC"
99,"Trinet Entertainment"
100,"TV Tokyo"
100,"Nihon Ad Systems"
100,"King Records"
101,Dentsu
101,"Square Enix"
101,"Mainichi Broadcasting System"
101,Aniplex
102,"Nihon Ad Systems"
103,"TV Tokyo"
103,"Shogakukan-Shueisha Productions"
103,"Yomiko Advertising"
103,Apollon
105,Lantis
106,Lantis
107,"Media Factory"
109,"TV Tokyo"
109,Dentsu
109,"Group TAC"
112,Kodansha
112,"Rondo Robe"
112,Rakuonsha
112,TBS
113,"Pony Canyon"
113,Memory-Tech
113,"Studio Jack"
114,"Fuji TV"
114,Marvelous
115,"TV Tokyo"
115,Dentsu
115,"Dream Force"
116,"Fuji TV"
120,"TV Asahi"
120,GANSIS
122,"Geneon Universal Entertainment"
122,Remic
122,"Studio Fantasia"
122,"Front Line"
122,Kodansha
122,"Rondo Robe"
122,Memory-Tech
122,"Toshiba Entertainment"
123,"Fuji TV"
123,"Fujipacific Music"
123,Movic
124,"TV Tokyo"
124,GANSIS
125,TBS
125,"Rondo Robe"
125,Movic
125,"Geneon Universal Entertainment"
126,Lantis
126,"Media Factory"
126,Age
128,"TV Asahi"
128,Movic
128,"Bandai Visual"
129,Aniplex
129,"Mainichi Broadcasting System"
130,"Toei Video"
131,AIC
131,"TV Asahi"
131,"Sotsu Music Publishing"
132,"Sogo Vision"
133,"TV Tokyo"
133,"Nihon Ad Systems"
133,"TV Tokyo Music"
134,"Victor Entertainment"
134,Marubeni
134,"Kadokawa Shoten"
134,Movic
134,Sega
134,Shelty
135,chara-ani.com
135,"Kadokawa Shoten"
135,d-rights
135,"Bandai Visual"
136,"Starchild Records"
137,"Rondo Robe"
137,"TV Tokyo Music"
138,TBS
138,KENMedia
138,"Kadokawa Shoten"
139,"Victor Entertainment"
139,"Pioneer LDC"
139,Rakuonsha
140,"TV Asahi"
140,Imagica
140,GDH
141,Broccoli
142,"Avex Entertainment"
143,"Tokuma Shoten"
143,"Nippon Television Network"
144,"Fuji TV"
144,"Asatsu DK"
145,GDH
145,"Sotsu Music Publishing"
146,A-Line
146,"Kadokawa Shoten"
147,"Yomiko Advertising"
148,TBS
148,"Rondo Robe"
148,Movic
149,Animax
149,"TV Asahi"
151,"Studio Izena"
151,MediaNet
152,"TV Asahi"
153,"TV Tokyo Music"
154,Discovery
155,NHK
155,Kodansha
156,"Studio Jack"
156,"WAO World"
158,GDH
158,Dentsu
158,"Media Factory"
159,Dentsu
159,"Media Factory"
159,GDH
160,"TV Tokyo"
160,"Bandai Visual"
161,Marvelous
162,"Happinet Pictures"
163,"OB Planning"
163,"Fuji TV"
164,"Fuji TV"
164,"OB Planning"
165,"OB Planning"
166,AIC
166,"Green Bunny"
166,"BEAM Entertainment"
167,"TV Tokyo"
167,"Yomiko Advertising"
167,"Production I.G"
168,"Starchild Records"
168,"Audio Tanaka"
169,"Yomiko Advertising"
170,"Yomiko Advertising"
171,"Kadokawa Shoten"
171,"Sony PCL"
171,KlockWorx
171,"Happinet Pictures"
172,"Bandai Visual"
173,"Bandai Visual"
173,Genco
174,Genco
174,Lantis
174,"Bandai Visual"
175,m.o.e.
176,"TV Asahi"
176,"WAO World"
176,TAP
177,Toho
179,Shueisha
180,"Bandai Visual"
180,"Asatsu DK"
180,"Fuji TV"
181,"Green Bunny"
183,"Victor Entertainment"
183,"Fuji TV"
183,"Barnum Studio"
183,"Tokuma Shoten"
183,"flying DOG"
184,"Kadokawa Shoten"
184,"Yomiko Advertising"
184,Marubeni
185,TBS
185,Marubeni
185,"Kadokawa Shoten"
186,Aniplex
186,"SME Visual Works"
187,"Studio Deen"
187,Broccoli
187,"Sony Music Entertainment"
187,Aniplex
188,"Shogakukan-Shueisha Productions"
188,"Kitty Films"
188,"Fuji TV"
188,Shogakukan
189,"Pink Pineapple"
189,"Green Bunny"
190,Soeishinsha
191,"NuTech Digital"
192,"Pink Pineapple"
194,"Geneon Universal Entertainment"
194,I-move
195,"Studio Tulip"
195,"Pink Pineapple"
196,"Starchild Records"
196,"Yomiko Advertising"
196,"Audio Tanaka"
197,"Starchild Records"
197,"Kadokawa Shoten"
197,"Toei Video"
197,Movic
197,Sega
197,"King Records"
197,"Audio Tanaka"
197,"TV Tokyo"
198,Discovery
199,"Green Bunny"
200,"Studio Pierrot"
200,Shochiku
200,Memory-Tech
200,"Happinet Pictures"
201,"Fuji TV"
202,"Fuji TV"
203,VAP
203,Genco
204,GANSIS
204,"Starchild Records"
205,Aniplex
205,"SKY Perfect Well Think"
206,"Happinet Pictures"
206,"Toshiba Entertainment"
207,VAP
207,"Nippon Television Network"
208,"TV Tokyo Music"
208,"Shounen Gahousha"
208,"Starchild Records"
209,NHK
209,YTV
209,Kodansha
209,"Sogo Vision"
211,HoriPro
211,"TV Tokyo"
212,"Yomiuri Telecasting"
212,Animax
212,YTV
212,TMS-Kyokuchi
212,Shogakukan
213,Sotsu
214,Aniplex
214,"Mainichi Broadcasting System"
214,Bandai
214,"Ashi Production"
214,"Sony Music Entertainment"
214,"Bandai Namco Games"
214,"Hakuhodo DY Media Partners"
214,"Bandai Channel"
214,USEN
214,"Bandai Visual"
214,"Kadokawa Shoten"
215,"Fuji TV"
216,GDH
216,"TV Asahi"
216,"Media Factory"
216,"Sotsu Music Publishing"
217,"Toshiba Entertainment"
217,Genco
217,Lantis
217,"Kids Station"
218,"Kadokawa Shoten"
218,"Fuji TV"
218,Rakuonsha
218,KlockWorx
218,"Happinet Pictures"
218,"Studio Jack"
218,Lantis
219,VAP
219,"Studio Jack"
220,Aniplex
222,Aniplex
222,"Fuji TV"
223,Kodansha
223,TBS
225,Shueisha
226,"Yomiuri Telecasting"
226,Shogakukan
227,"Fuji TV"
227,"Yomiko Advertising"
228,NHK
229,"Victor Entertainment"
230,"Bandai Visual"
230,Sotsu
231,"Bandai Visual"
232,"Bandai Visual"
234,Genco
234,"Cosmic Ray"
234,"Eye Move"
234,Bushiroad
235,"Group TAC"
235,KENMedia
236,KSS
237,KSS
238,KSS
238,"Studio Jack"
239,KSS
240,VAP
243,"Rondo Robe"
243,d-rights
244,"Tohokushinsha Film Corporation"
245,KSS
245,Shueisha
246,Aniplex
246,Dentsu
246,"TV Tokyo Music"
246,"Studio Kelmadick"
246,Shueisha
246,"TV Tokyo"
247,"Fuji TV"
247,"Pioneer LDC"
248,"Media Factory"
248,Imagica
248,"Hal Film Maker"
248,"Amber Film Works"
248,Imagine
249,"Victor Entertainment"
250,"Rondo Robe"
250,"Pioneer LDC"
250,Daiei
251,gimik
252,m.o.e.
253,TBS
253,"Pioneer LDC"
254,"Pioneer LDC"
255,"TV Tokyo"
255,MediaNet
255,Capcom
256,"RCC Chugoku Broadcasting"
256,Toho
256,"Tokyo Movie Shinsha"
256,"Tohokushinsha Film Corporation"
257,"TV Tokyo Music"
257,"Dentsu Tec"
257,"Geneon Universal Entertainment"
257,Dentsu
257,"TV Tokyo"
258,Lantis
258,Age
259,Aniplex
261,"TV Asahi"
263,"Tokyo Movie Shinsha"
263,TMS-Kyokuchi
264,Free-Will
265,d-rights
265,"Heewon Entertainment"
266,KSS
267,"Bandai Visual"
267,WOWOW
269,"OB Planning"
270,Broccoli
271,"Media Factory"
271,Imagica
271,KlockWorx
272,KlockWorx
272,Imagica
273,"Bandai Visual"
273,"Nihon Ad Systems"
273,"TV Tokyo Music"
274,"Kadokawa Shoten"
274,"Toshiba Entertainment"
274,Shochiku
275,"Bandai Visual"
275,"Yomiko Advertising"
276,Bandai
276,CyberConnect2
276,"Bandai Visual"
277,"Bandai Visual"
277,Kodansha
280,"Bandai Visual"
281,"Bandai Visual"
281,Movic
281,Sega
281,Imagine
281,"Pony Canyon"
281,Kodansha
282,"Dynamic Planning"
283,Dentsu
283,"Starchild Records"
283,Imagica
283,Rakuonsha
283,"King Records"
285,"Ginga Ya"
285,"Trilogy Future Studio"
285,"Bandai Visual"
285,"Mellow Head"
285,Genco
286,"Kadokawa Shoten"
286,"Studio Jack"
286,"NBCUniversal Entertainment Japan"
286,"Audio Tanaka"
286,"On The Run"
286,Lantis
288,"Mainichi Broadcasting System"
289,"Tokyo Movie Shinsha"
291,"Bandai Visual"
291,"Tokyo Movie Shinsha"
291,Movic
292,"Film Workshop"
292,"Polygram Japan"
293,"Pink Pineapple"
293,"Critical Mass Video"
295,"Pioneer LDC"
295,"Cosmic Ray"
295,"Geneon Universal Entertainment"
296,KSS
296,"Soft Garage"
297,"BEAM Entertainment"
297,"Green Bunny"
298,GDH
298,"Media Factory"
298,"Nippon Columbia"
299,"Fuji TV"
299,Aniplex
300,WOWOW
300,"Asmik Ace"
300,"Tohokushinsha Film Corporation"
301,"Tohokushinsha Film Corporation"
302,"TV Tokyo"
302,Marvelous
302,"Studio Jack"
303,TBS
303,"Trans Arts"
305,"animate Film"
305,"Kids Station"
305,"Pioneer LDC"
306,NHK
306,"Bandai Visual"
307,"Bandai Visual"
307,Lantis
308,"Asahi Broadcasting"
308,Dentsu
309,"TV Tokyo"
309,Sotsu
311,"Asahi Broadcasting"
312,"TV Tokyo"
312,Rakuonsha
313,"Rondo Robe"
314,"Starchild Records"
314,GANSIS
315,"Nippon Television Network"
316,"TV Tokyo"
316,"Geneon Universal Entertainment"
316,Genco
316,"Pioneer LDC"
316,"TV Tokyo Music"
316,"Fujipacific Music"
317,"Media Factory"
317,"TV Tokyo"
317,Sotsu
317,Marvelous
318,Aniplex
318,Sotsu
318,"SME Visual Works"
318,"TV Tokyo"
319,"Geneon Universal Entertainment"
321,NHK
322,"Pony Canyon"
322,TBS
322,"Toshiba Entertainment"
322,"Fuji Creative"
324,Aniplex
324,WOWOW
325,Genco
325,"Starchild Records"
325,"Hal Film Maker"
327,"Asahi Broadcasting"
328,"Asahi Broadcasting"
329,"Asahi Broadcasting"
330,"Asahi Broadcasting"
331,m.o.e.
332,"Geneon Universal Entertainment"
332,"Cosmic Ray"
332,Showgate
332,"ASCII Media Works"
332,"Toshiba Entertainment"
333,"Frontier Works"
333,TBS
333,"Geneon Universal Entertainment"
333,KlockWorx
333,Notes
334,Showgate
334,"Geneon Universal Entertainment"
335,"Happinet Pictures"
336,Aniplex
336,"SME Visual Works"
337,"Studio Jack"
337,Amuse
337,Hakuhodo
337,Mitsubishi
337,"Panasonic Digital Contents"
337,Rakuonsha
338,"E&G Films"
