anime_id,rating,rating_description
1,R17+,"violence & profanity"
2,R17+,"violence & profanity"
3,PG13,"Teens 13 or older"
4,PG13,"Teens 13 or older"
5,PG,Children
6,PG13,"Teens 13 or older"
7,PG13,"Teens 13 or older"
8,PG13,"Teens 13 or older"
9,PG13,"Teens 13 or older"
10,R+,"Mild Nudity"
11,PG13,"Teens 13 or older"
12,PG13,"Teens 13 or older"
13,PG13,"Teens 13 or older"
14,PG,Children
15,PG13,"Teens 13 or older"
16,R17+,"violence & profanity"
17,R+,"Mild Nudity"
18,R17+,"violence & profanity"
19,PG13,"Teens 13 or older"
20,PG13,"Teens 13 or older"
21,PG13,"Teens 13 or older"
22,R17+,"violence & profanity"
23,R+,"Mild Nudity"
24,R+,"Mild Nudity"
25,R+,"Mild Nudity"
26,R17+,"violence & profanity"
27,PG13,"Teens 13 or older"
28,R17+,"violence & profanity"
29,R+,"Mild Nudity"
30,PG13,"Teens 13 or older"
31,PG13,"Teens 13 or older"
32,PG13,"Teens 13 or older"
33,R+,"Mild Nudity"
34,PG13,"Teens 13 or older"
35,PG13,"Teens 13 or older"
36,R17+,"violence & profanity"
37,R17+,"violence & profanity"
38,R17+,"violence & profanity"
39,R17+,"violence & profanity"
40,R+,"Mild Nudity"
41,PG13,"Teens 13 or older"
42,R17+,"violence & profanity"
43,PG13,"Teens 13 or older"
44,PG13,"Teens 13 or older"
45,R+,"Mild Nudity"
46,PG13,"Teens 13 or older"
47,PG13,"Teens 13 or older"
48,PG13,"Teens 13 or older"
49,R17+,"violence & profanity"
50,PG13,"Teens 13 or older"
51,PG13,"Teens 13 or older"
52,R17+,"violence & profanity"
53,PG13,"Teens 13 or older"
54,R17+,"violence & profanity"
55,G,"All Ages"
56,PG13,"Teens 13 or older"
57,PG13,"Teens 13 or older"
58,PG13,"Teens 13 or older"
59,R+,"Mild Nudity"
60,PG13,"Teens 13 or older"
61,PG13,"Teens 13 or older"
62,PG13,"Teens 13 or older"
63,PG13,"Teens 13 or older"
64,PG13,"Teens 13 or older"
65,PG13,"Teens 13 or older"
66,PG13,"Teens 13 or older"
67,PG13,"Teens 13 or older"
68,PG13,"Teens 13 or older"
69,PG13,"Teens 13 or older"
70,PG13,"Teens 13 or older"
71,PG13,"Teens 13 or older"
72,PG13,"Teens 13 or older"
73,R17+,"violence & profanity"
74,R17+,"violence & profanity"
75,PG13,"Teens 13 or older"
76,PG13,"Teens 13 or older"
77,PG13,"Teens 13 or older"
78,PG13,"Teens 13 or older"
79,PG13,"Teens 13 or older"
80,PG13,"Teens 13 or older"
81,PG13,"Teens 13 or older"
82,PG13,"Teens 13 or older"
83,G,"All Ages"
84,R17+,"violence & profanity"
85,PG13,"Teens 13 or older"
86,PG13,"Teens 13 or older"
87,PG13,"Teens 13 or older"
88,PG13,"Teens 13 or older"
89,PG13,"Teens 13 or older"
90,PG13,"Teens 13 or older"
91,PG,Children
92,PG13,"Teens 13 or older"
93,PG13,"Teens 13 or older"
94,PG13,"Teens 13 or older"
95,PG13,"Teens 13 or older"
96,PG13,"Teens 13 or older"
97,PG13,"Teens 13 or older"
98,PG13,"Teens 13 or older"
99,PG13,"Teens 13 or older"
100,PG13,"Teens 13 or older"
101,PG13,"Teens 13 or older"
102,PG13,"Teens 13 or older"
103,PG13,"Teens 13 or older"
104,PG13,"Teens 13 or older"
105,PG13,"Teens 13 or older"
106,PG13,"Teens 13 or older"
107,PG13,"Teens 13 or older"
108,PG13,"Teens 13 or older"
109,R17+,"violence & profanity"
110,PG13,"Teens 13 or older"
111,PG13,"Teens 13 or older"
112,PG13,"Teens 13 or older"
113,R+,"Mild Nudity"
114,R17+,"violence & profanity"
115,PG13,"Teens 13 or older"
116,PG13,"Teens 13 or older"
117,PG13,"Teens 13 or older"
118,PG13,"Teens 13 or older"
119,PG13,"Teens 13 or older"
120,R17+,"violence & profanity"
121,PG13,"Teens 13 or older"
122,PG13,"Teens 13 or older"
123,G,"All Ages"
124,PG13,"Teens 13 or older"
125,R+,"Mild Nudity"
126,R+,"Mild Nudity"
127,PG13,"Teens 13 or older"
128,PG13,"Teens 13 or older"
129,R17+,"violence & profanity"
130,R+,"Mild Nudity"
131,R17+,"violence & profanity"
132,PG13,"Teens 13 or older"
133,PG13,"Teens 13 or older"
134,R17+,"violence & profanity"
135,R+,"Mild Nudity"
136,PG13,"Teens 13 or older"
137,PG13,"Teens 13 or older"
138,PG13,"Teens 13 or older"
139,R17+,"violence & profanity"
140,R17+,"violence & profanity"
141,G,"All Ages"
142,PG,Children
143,PG13,"Teens 13 or older"
144,PG13,"Teens 13 or older"
145,PG13,"Teens 13 or older"
146,PG13,"Teens 13 or older"
147,PG13,"Teens 13 or older"
148,R17+,"violence & profanity"
149,PG13,"Teens 13 or older"
150,PG,Children
151,PG13,"Teens 13 or older"
152,R17+,"violence & profanity"
153,PG13,"Teens 13 or older"
154,PG13,"Teens 13 or older"
155,PG13,"Teens 13 or older"
156,G,"All Ages"
157,G,"All Ages"
158,PG13,"Teens 13 or older"
159,PG13,"Teens 13 or older"
160,PG13,"Teens 13 or older"
161,G,"All Ages"
162,PG13,"Teens 13 or older"
163,PG13,"Teens 13 or older"
164,PG13,"Teens 13 or older"
165,PG13,"Teens 13 or older"
166,Rx,Hentai
167,PG13,"Teens 13 or older"
168,PG13,"Teens 13 or older"
169,PG13,"Teens 13 or older"
170,PG13,"Teens 13 or older"
171,R+,"Mild Nudity"
172,R+,"Mild Nudity"
173,PG13,"Teens 13 or older"
174,PG13,"Teens 13 or older"
175,R+,"Mild Nudity"
176,R+,"Mild Nudity"
177,PG,Children
178,PG13,"Teens 13 or older"
179,R+,"Mild Nudity"
180,PG13,"Teens 13 or older"
181,Rx,Hentai
182,PG13,"Teens 13 or older"
183,R17+,"violence & profanity"
