anime_id,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1
1,229170,182126,131625,62330,20688,8904,3184,1357,741,1580
2,30043,49201,49505,22632,5805,1877,577,221,109,379
3,50229,75651,86142,49432,15376,5838,1965,664,316,533
4,2182,4806,10128,11618,5709,2920,1083,353,164,131
5,312,529,1242,1713,1068,634,265,83,50,27
6,9226,14904,22811,16734,6206,2621,795,336,140,151
7,11829,16309,20008,13062,5574,3148,1339,484,278,321
8,1123,1777,3102,3075,1286,602,218,88,31,32
9,10948,15820,22379,12912,3874,1236,369,97,48,259
10,77350,60652,43459,22045,8861,4381,2086,882,593,1177
11,216866,234481,345563,286175,108155,46886,15477,6098,3582,5310
12,292445,166186,141755,85424,35342,19019,8201,3675,2616,6340
13,9576,12719,19791,16284,6624,3086,1071,443,210,225
14,69,61,152,260,236,143,88,40,32,28
15,17907,27623,38112,27327,11034,5396,1897,780,441,405
16,3589,6664,12349,12702,6033,3079,1521,643,350,297
17,6856,8309,10851,8636,4429,2462,1456,684,411,664
18,6091,9759,17761,20152,10273,5392,2250,873,456,298
19,4347,7425,11074,7965,3038,1248,345,118,56,58
20,430,874,1801,1696,662,279,114,38,13,28
21,186797,168056,157596,93532,38385,17571,9686,4408,3263,3714
22,13516,15245,23683,25396,12694,6313,2636,1042,654,737
23,127081,95821,77593,41261,16444,7057,4493,2279,1941,2264
24,58627,65906,60815,29055,9477,3899,1748,671,456,842
25,56237,65298,70881,39446,13704,5107,1842,675,292,486
26,39845,33317,25800,11782,3575,1393,448,163,106,490
27,38050,50380,57604,33295,10220,3867,1167,372,176,314
28,2958,3683,6232,6557,2832,1310,426,129,71,59
29,77192,82148,91288,54906,22369,9462,4322,1737,992,1067
30,5266,8051,15537,20391,12617,7610,3688,1502,825,619
31,2021,3077,5826,7079,3737,1795,433,172,59,46
32,5425,9097,17037,20033,10160,5221,1678,591,291,214
33,1464,2043,3490,5450,5008,3621,2115,992,689,415
34,1644,3245,6253,7975,4261,2092,579,211,89,87
35,3124,5402,10587,13835,8066,4414,1627,609,287,206
36,2107,4369,8991,11644,6182,3050,1249,451,213,113
37,174,271,762,1605,1252,814,297,108,50,37
38,166,259,699,1335,1371,1135,698,343,222,133
39,23840,31103,30926,17566,6598,3000,1173,446,225,235
40,1451,2733,5800,7810,4354,2327,1012,381,229,168
41,20499,32733,55560,58689,29800,14855,5772,2124,1159,816
42,11469,16051,25109,23075,11012,5331,1919,652,280,256
43,7515,11105,19858,25101,15032,8167,3203,1092,595,378
44,1542,2446,5172,7807,5472,3340,1493,645,376,242
45,3464,5632,11499,19352,14791,8839,4070,1863,1029,730
46,7868,12729,23021,23961,11535,5531,2028,737,387,292
47,5500,9205,15835,14172,5733,2345,760,255,95,97
48,18422,27283,35693,25478,10326,5162,1797,707,406,412
49,6677,11140,19570,17421,7816,3800,1554,643,316,244
50,8654,15253,29392,34019,16081,7534,2521,863,395,234
51,113,162,372,652,627,412,261,108,62,31
52,17675,36500,64969,56993,21492,9171,3035,991,448,329
53,24023,37507,45884,30305,11085,4417,1332,442,194,164
54,14139,30146,45246,29917,9377,3127,816,235,115,129
55,5560,7151,11074,11158,5331,2357,618,214,115,104
56,926,1667,3344,3838,1827,955,424,184,94,71
57,3193,5032,9945,10737,4999,2363,736,276,140,112
58,4189,6809,9368,6267,2220,864,250,83,53,71
59,8852,14660,26443,32343,18951,10530,5019,2184,1323,1088
60,5395,7488,12922,11417,4169,1598,505,179,59,104
61,4241,8768,11589,6745,2121,819,262,87,38,50
62,2957,5210,7398,5147,1817,748,236,82,36,47
63,275,461,1054,1788,1273,630,193,73,30,22
64,1167,2602,5380,5460,2544,1163,497,180,58,41
65,4021,5901,7986,5578,2118,896,392,152,65,97
66,622,1062,2740,4440,2977,1601,930,372,182,115
67,2400,3571,5995,4692,1865,824,376,147,69,54
68,530,892,2239,3834,2824,1462,649,221,93,52
69,430,735,1589,2272,1406,796,487,240,90,89
70,9965,13704,21396,18315,7559,3460,1507,518,210,175
71,3190,4480,6953,5766,2210,921,307,127,54,50
72,788,1633,3412,3998,1801,813,304,100,43,39
73,11353,15863,22505,17695,7560,3710,1701,762,379,404
74,5979,8245,12662,12913,6928,3887,2752,1300,865,584
75,1815,2212,3129,2892,1403,706,299,127,87,66
76,3208,4873,8426,8118,3463,1607,696,279,129,104
77,7078,12558,20122,14844,5886,2579,825,286,140,109
78,4076,7287,12622,12897,6091,3053,1129,391,211,191
79,1673,3271,5798,6647,3441,1676,706,242,128,101
