anime_id,source
1,Original
2,Original
3,Manga
4,Original
5,Manga
6,Manga
7,Manga
8,Manga
9,Manga
10,Manga
11,Manga
12,Manga
13,Manga
14,Manga
15,Manga
16,Manga
17,Original
18,"Light novel"
19,Manga
20,Manga
21,Original
22,Original
23,Original
24,Manga
25,Manga
26,Manga
27,Manga
28,Manga
29,Manga
30,Original
31,Manga
32,Manga
33,Manga
34,Manga
35,Manga
36,Manga
37,Game
38,Original
39,Manga
40,Original
41,Manga
42,Manga
43,Manga
44,"Visual novel"
45,Manga
46,Manga
47,Manga
48,"4-koma manga"
49,Manga
50,Manga
51,Original
52,"Light novel"
53,"Light novel"
54,"Light novel"
55,Manga
56,Original
57,Original
58,Original
59,"Visual novel"
60,Original
61,Original
62,Original
63,Original
64,Original
65,Original
66,Original
67,Novel
68,NULL
69,Original
70,Original
71,Original
72,Original
73,Original
74,Original
75,Original
76,Original
77,Original
78,Original
79,Original
80,Manga
81,"Visual novel"
82,Manga
83,Manga
84,Manga
85,Manga
86,Manga
87,Manga
88,Manga
89,Original
90,Manga
91,Original
92,Original
93,Original
94,Manga
95,Original
96,Original
97,Original
98,Original
99,"Visual novel"
100,Manga
101,Manga
102,Manga
103,Manga
104,Manga
105,Original
106,Original
107,Game
108,Game
109,Manga
110,Manga
111,Manga
112,Manga
113,"Visual novel"
114,Manga
115,Manga
116,Manga
117,Manga
118,Manga
119,Manga
120,Manga
121,Manga
122,Manga
123,"Visual novel"
124,Manga
125,Original
126,"Visual novel"
127,"Visual novel"
128,Manga
129,Original
130,Manga
131,Original
132,Novel
133,Manga
134,Manga
135,Manga
136,Manga
137,"Light novel"
138,Manga
139,Original
140,Manga
141,Manga
142,Game
143,Original
144,Original
145,Other
146,"Light novel"
147,Original
148,"Visual novel"
149,Manga
150,Original
151,Manga
152,Manga
153,Manga
154,"Visual novel"
155,Manga
156,Manga
157,NULL
158,Original
159,Original
160,Original
161,Manga
162,Game
163,Manga
164,Manga
165,Manga
166,Original
167,Manga
168,Manga
169,Manga
170,NULL
171,"Light novel"
172,Original
173,Original
174,Original
175,Manga
176,Original
177,Original
178,Manga
179,Manga
180,Original
181,"Visual novel"
182,"Visual novel"
183,Original
184,Novel
185,Novel
186,"Light novel"
187,"Light novel"
188,Manga
189,"Visual novel"
190,Original
191,NULL
192,NULL
193,"Visual novel"
194,"Visual novel"
195,NULL
196,Original
197,Original
198,NULL
199,Original
200,Original
201,Manga
202,Manga
203,Manga
204,Original
205,Original
206,Manga
207,Manga
208,Manga
209,Manga
210,Manga
211,Manga
212,Manga
213,Manga
214,Original
215,Manga
216,Novel
217,Manga
218,Manga
219,Manga
220,Manga
221,Novel
222,Manga
223,Manga
224,"Visual novel"
225,Manga
226,Manga
227,Manga
228,"Light novel"
229,Original
230,Manga
231,Manga
232,Manga
233,Original
234,Manga
