anime_id,studios
1,Sunrise
2,Bones
3,Madhouse
4,Sunrise
5,"Toei Animation"
6,Gallop
7,J.C.Staff
8,"Nippon Animation"
9,A.C.G.T.
10,Madhouse
11,"Studio Pierrot"
12,"Toei Animation"
13,"Trans Arts"
14,"Toei Animation"
15,"Studio Comet"
16,Gonzo
17,Madhouse
18,Gonzo
19,Sunrise
20,"Studio Deen"
21,Gainax
21,"Tatsunoko Production"
22,"Production I.G"
22,Gainax
23,Gainax
23,"Production I.G"
24,OLM
25,"Production I.G"
26,"Studio Deen"
27,Gallop
27,"Studio Deen"
28,Gallop
29,"Tokyo Movie Shinsha"
30,"Bee Train"
31,AIC
32,AIC
33,"Hal Film Maker"
34,Bones
35,J.C.Staff
36,"Digital Frontier"
37,"Bee Train"
38,"Bee Train"
38,Xebec
39,Madhouse
40,AIC
41,Madhouse
42,Gonzo
43,Xebec
44,feel.
44,Zexcs
45,Daume
46,Nomad
47,Nomad
48,J.C.Staff
49,Gonzo
50,Gonzo
51,Sunrise
52,Gonzo
53,"Kyoto Animation"
54,"Kyoto Animation"
55,"Group TAC"
56,Xebec
57,"Seven Arcs"
58,"Seven Arcs"
59,Asread
60,Sunrise
61,Sunrise
62,Sunrise
63,Sunrise
64,Sunrise
65,Sunrise
66,Sunrise
67,Sunrise
67,"Studio Hibari"
68,Sunrise
69,Sunrise
69,"Studio Deen"
70,Sunrise
71,Sunrise
72,Sunrise
73,Sunrise
74,Sunrise
75,Sunrise
75,"Nakamura Production"
76,Sunrise
77,Gonzo
78,Sunrise
79,Sunrise
80,"Hal Film Maker"
81,"Kyoto Animation"
82,"TMS Entertainment"
83,Gallop
84,"Studio Pierrot"
85,"Hal Film Maker"
86,"Toei Animation"
87,"Studio Deen"
88,"Studio Deen"
89,Gonzo
90,"Nippon Animation"
91,"Nippon Animation"
92,Imagin
92,"Studio Live"
93,Xebec
94,"Production I.G"
95,AIC
96,AIC
97,AIC
98,AIC
99,Zexcs
100,"Studio Deen"
101,Bones
102,"Studio Deen"
103,"Studio Pierrot"
104,"Studio Pierrot"
105,"Telecom Animation Film"
106,ufotable
106,feel.
106,"Studio Flag"
107,Gonzo
108,Gonzo
109,"Studio Pierrot"
110,"Studio Pierrot"
111,"Studio Pierrot"
112,"Studio Deen"
113,"Studio Matrix"
114,Madhouse
115,"Studio Pierrot"
116,"Nippon Animation"
117,"Nippon Animation"
118,"Nippon Animation"
119,"Nippon Animation"
120,feel.
121,"Toei Animation"
122,TNK
123,"Toei Animation"
124,Gainax
124,J.C.Staff
125,Shaft
125,Gainax
126,"Studio Fantasia"
127,"Studio Deen"
128,J.C.Staff
129,"Production I.G"
130,Gainax
130,"Toei Animation"
131,Gonzo
132,"Studio Pierrot"
133,Xebec
134,Madhouse
135,Madhouse
136,Xebec
137,"Studio Deen"
138,Gainax
138,J.C.Staff
139,AIC
140,Gonzo
141,Madhouse
142,"Studio Pierrot"
143,"Studio Ghibli"
144,Bones
145,Gonzo
146,Bones
147,Sunrise
148,J.C.Staff
149,"Toei Animation"
150,"Hal Film Maker"
151,"Studio Deen"
152,Madhouse
153,"Studio Pierrot"
154,"Seven Arcs"
155,"Bee Train"
156,"Production Reed"
157,"Production Reed"
158,Gonzo
159,Gonzo
160,Sunrise
161,"Studio Comet"
162,"Toei Animation"
163,Gallop
163,"Studio Comet"
164,Pastel
165,"Studio Deen"
167,Xebec
168,Xebec
169,Xebec
170,Xebec
171,J.C.Staff
172,Satelight
173,Daume
174,Daume
175,Madhouse
175,Imagin
176,Gonzo
177,"Studio Ghibli"
178,"TMS Entertainment"
179,"Production I.G"
180,Bones
181,Arms
182,"Studio Deen"
183,Manglobe
184,AIC
185,Madhouse
186,"Studio Deen"
187,J.C.Staff
188,"Studio Deen"
190,APPP
194,Bones
196,Xebec
197,Xebec
199,Arms
200,Arms
201,"Toei Animation"
202,"Toei Animation"
203,Arms
204,Gainax
204,"Production I.G"
205,"Studio Deen"
206,ufotable
207,"Toei Animation"
208,"Chaos Project"
208,GANSIS
209,Madhouse
210,J.C.Staff
211,"Tokyo Kids"
212,"TMS Entertainment"
213,"Studio Pierrot"
214,Bones
215,"Studio Pierrot"
216,Gonzo
217,"Palm Studio"
218,"AIC Spirits"
219,Madhouse
220,"Studio Deen"
221,OLM
222,"Studio Pierrot"
223,"Studio Deen"
224,"Yumeta Company"
225,Madhouse
226,Sunrise
227,"Toei Animation"
228,"Studio Deen"
229,"Bee Train"
230,"Shin-Ei Animation"
231,"Shin-Ei Animation"
232,"Shin-Ei Animation"
233,"CoMix Wave Films"
234,J.C.Staff
235,Madhouse
236,"Studio Hibari"
237,"Studio Hibari"
238,"Studio Hibari"
239,"Studio Hibari"
240,Madhouse
241,Madhouse
242,Madhouse
243,J.C.Staff
244,Madhouse
245,APPP
246,"Studio Pierrot"
247,Gonzo
248,Gonzo
249,"Bee Train"
250,J.C.Staff
251,Gonzo
252,Imagin
252,"Studio Live"
253,Shaft
253,Gainax
254,Gainax
254,Shaft
255,"Group TAC"
256,"TMS Entertainment"
257,Gallop
258,Silver
259,"TMS Entertainment"
260,"Nippon Animation"
261,"Group TAC"
262,Sunrise
263,"TMS Entertainment"
264,"Group TAC"
265,Madhouse
266,OLM
267,Sunrise
268,feel.
269,A.C.G.T.
270,Madhouse
271,Radix
272,Radix
273,Madhouse
274,"Group TAC"
275,"Bee Train"
276,"Bee Train"
277,"Toei Animation"
278,"Magic Bus"
279,"Nippon Animation"
280,OLM
281,AIC
282,"Studio Pierrot"
283,Gainax
283,Madhouse
284,"Tatsunoko Production"
285,Ajia-Do
286,Radix
287,"Studio Pierrot"
288,Madhouse
288,"Tokyo Movie Shinsha"
290,Madhouse
291,Annapuru
292,"Triangle Staff"
293,AIC
294,"Square Enix"
295,TNK
295,"Production Reed"
296,Zexcs
297,Arms
298,"Studio Fantasia"
298,"Amber Film Works"
299,Madhouse
300,Madhouse
301,Sunrise
302,"Studio Comet"
303,Madhouse
304,Gainax
305,OLM
306,Sunrise
307,"Studio Pierrot"
308,"Nippon Animation"
309,"Nippon Animation"
310,Sunrise
311,"Toei Animation"
312,"Studio Deen"
313,"Bee Train"
314,"E&G Films"
315,"Tokyo Movie Shinsha"
316,"Triangle Staff"
317,"Studio Comet"
318,J.C.Staff
319,J.C.Staff
320,Shaft
321,"Group TAC"
322,"Studio Pierrot"
323,"Trinet Entertainment"
323,"Picture Magic"
324,"Bee Train"
325,Xebec
326,"AIC ASTA"
327,"Toei Animation"
328,"Toei Animation"
329,"Toei Animation"
330,"Toei Animation"
331,"Studio Matrix"
332,J.C.Staff
333,"Studio Deen"
334,"Hal Film Maker"
334,Nomad
335,"Toei Animation"
336,M.S.C
337,"Group TAC"
340,"Picture Magic"
340,Rikuentai
341,"Tokyo Kids"
341,"Minami Machi Bugyousho"
341,"TMS Entertainment"
342,J.C.Staff
343,"Studio Fantasia"
344,Gallop
345,"Milky Animation Label"
346,Madhouse
347,"Magic Bus"
348,Madhouse
349,Madhouse
350,"Studio Fantasia"
350,"animate Film"
351,"Production Reed"
352,"Production Reed"
353,Arms
354,Actas
354,"Production Reed"
355,Actas
356,J.C.Staff
357,"Studio Pierrot"
358,"Studio Pierrot"
359,"Chaos Project"
360,Madhouse
361,Gonzo
362,"Group TAC"
362,"Japan Vistec"
363,"Production Reed"
364,Radix
365,"Studio Comet"
366,"Tatsunoko Production"
367,"Studio Comet"
368,Actas
369,"Studio Pierrot"
370,Bones
370,Sunrise
