studio_id,studios
1,"GEN Productions"
2,"Original Force"
3,"DAX Production"
4,"Gosay Studio"
5,Sunrise
6,"Dai-Ichi Douga"
7,"Digital Network Animation"
8,"Studio Eromatick"
9,WHOPPERS
10,Bones
11,Madhouse
12,"Knack Productions"
13,"Toei Animation"
14,Oz
15,"Jinnis Animation Studios"
16,"Green Bunny"
17,"Office Takeout"
18,"Nippon Ramayana Film Co."
19,"Tele-Cartoon Japan"
20,"Minami Machi Bugyousho"
21,"AIC PLUS+"
22,"Studio Nue"
23,FILMONY
24,"Congzhuo Animation"
25,Gallop
26,"Enjin Productions"
27,J.C.Staff
28,foodunited.
29,"Nippon Animation"
30,A.C.G.T.
31,"Studio Pierrot"
32,Egg
33,"MORIE Inc."
34,"Trans Arts"
35,"Studio Kikan"
36,"Spell Bound"
37,"Studio Comet"
38,"Office AO"
39,"Ai Si Animation Studio"
40,Gonzo
41,"Marza Animation Planet"
42,"Shenying Animation"
43,"Studio Deen"
44,"David Production"
45,"Wulifang Digital"
46,"SILVER LINK."
47,"Grouper Productions"
48,HIDEHOMARE
49,"Ripple Film"
50,"Heewon Entertainment"
51,Gainax
52,"Kinema Citrus"
53,"Milky Cartoon"
54,Picograph
55,GoHands
56,"Toei Video"
57,Anima
58,"Hoods Entertainment"
59,"Natural High"
60,Schoolzone
61,"Kachidoki Studio"
62,OLM
63,"Production I.G"
64,"Tokyo Movie Shinsha"
65,PoRO
66,"Bee Train"
67,"Studio Take Off"
68,AIC
69,"Studio Shelter"
70,"Hal Film Maker"
71,Maxilla
72,"Digital Frontier"
73,Xebec
74,"Dazzling Star"
75,feel.
76,Pancake
77,Daume
78,Nomad
79,"Kaca Entertainment"
80,"Wei Chuang Jiang Xin"
81,"Painting Dream"
82,"JJJOY Animation Studios"
83,"Benlai Pictures"
84,"Alpha Animation"
85,"Kyoto Animation"
86,"Group TAC"
87,LICO
88,"Seven Arcs"
89,"Sanrio Digital"
90,Asread
91,"Xanthus Media"
92,"TMS Entertainment"
93,Imagin
94,"DMM pictures"
95,Zexcs
96,PERIMETRON
97,"Telecom Animation Film"
98,ufotable
99,"Ether Kitten"
100,"Studio Matrix"
101,Ekakiya
102,TANOsim
103,"Ten Tails Animation"
104,1IN
105,Fanworks
106,"Toho Interactive Animation"
107,"Studio Blanc"
108,"Studio Coa"
109,"Shanghai Animation Film Studio"
110,TNK
111,"Encourage Films"
112,"Studio Fantasia"
113,"Future Planet"
114,"Studio Ghibli"
115,Indeprox
116,"TYO Animations"
117,"Robot Communications"
118,Ordet
119,"Production Reed"
120,"Kate Arrow"
121,Pastel
122,"Studio Korumi"
123,Satelight
124,Stingray
125,Arms
126,Gathering
127,Manglobe
128,"Panda Factory"
129,APPP
130,G-Lam
131,"Chaos Project"
132,Bridge
133,"Tokyo Kids"
134,dwarf
135,"Palm Studio"
136,"Teatro Nishi Tokyo Studio"
137,ChuChu
138,"AIC Spirits"
139,"Automatic Flowers Studio"
140,Durufix
141,"Yumeta Company"
142,"Daewon Media"
143,"Shin-Ei Animation"
144,"Flat Studio"
145,"Studio Crocodile"
146,"CoMix Wave Films"
147,"Super Brain"
148,"Plus Heads"
149,"Studio Hibari"
150,"Paper Animation"
151,Echoes
152,Silver
153,"Original Dream"
154,Radix
155,"Studio World"
156,"Garden Culture"
157,"Magic Bus"
158,"AIC Classic"
159,"Tatsunoko Production"
160,"Hai An Xian Donghua Gongzuo Shi"
161,Animaruya
162,Ajia-Do
163,ORENDA
164,"Tohokushinsha Film Corporation"
165,Annapuru
166,"TAKI Corporation"
167,"AIC Build"
168,"Rising Force"
169,"Triangle Staff"
170,"Life Work"
171,"Square Enix"
172,"Studio Gokumi"
173,"E&G Films"
174,"PONOS Corporation"
175,Shaft
176,Irawias
177,"Trinet Entertainment"
178,"Studio Kafka"
179,"AIC ASTA"
180,"Nakamura Production"
181,M.S.C
182,"Tokyo Media Connections"
183,"Picture Magic"
184,Primastea
185,"Milky Animation Label"
186,Actas
187,GANSIS
188,8bit
189,"WAO World"
190,ElectromagneticWave
191,"G&G Entertainment"
192,"Studio Meditation With a Pencil"
193,"Studio 4Â°C"
194,"Amber Film Works"
195,"Ashi Production"
196,"Arcs Create"
197,"Japan Vistec"
198,"animate Film"
199,"Marine Entertainment"
200,Plum
201,"AIC Takarazuka"
202,"Dai Nippon Printing"
203,Artland
204,"Takahashi Studio"
205,Amuse
206,Karaku
207,"Kamikaze Douga"
208,"Brain's Base"
209,Idol
210,"Project No.9"
211,Eiken
212,"Studio March"
213,"Studio PuYUKAI"
214,Topcraft
215,BeSTACK
216,"Studio Junio"
217,"Studio Hakk"
218,KSS
219,"Studio Flag"
220,Seven
221,"Pink Pineapple"
222,"Zero-G Room"
223,"Sparkly Key Animation Studio"
224,"Shogakukan Music & Digital Entertainment"
225,Lerche
226,SynergySP
227,Ascension
228,Nikkatsu
229,"Studio Rikka"
230,B&T
231,"Cookie Jar Entertainment"
232,"Digital Media Lab"
233,"Creators Dot Com"
234,Toho
235,"Tezuka Productions"
236,"Vega Entertainment"
237,Meruhensha
238,Y.O.U.C
239,"Hiro Media"
240,Shinkuukan
241,"Tokyo Movie"
242,Planet
243,"Dongyang Animation"
244,"Barnum Studio"
245,"Studio Live"
246,KeyEast
247,"Collaboration Works"
248,"OLM Digital"
249,"Kino Production"
250,DiomedÃ©a
251,Remic
252,Code
253,Majin
254,"Enoki Films"
255,"Beijing Huihuang Animation Company"
256,"Studio Animal"
257,"Studio Jam"
258,"81 Produce"
259,"Phoenix Entertainment"
260,Graphinica
261,T.P.O
262,"Suna Kouhou"
263,"Kenji Studio"
264,"Bandai Visual"
265,LMD
266,"Welz Animation Studios"
267,C2C
268,"Rabbit Gate"
269,"RG Animation Studios"
270,"Purple Cow Studio Japan"
271,"Mook Animation"
272,teamKG
273,"Oh! Production"
274,"Studio WHO"
275,"View Works"
276,I.Gzwei
277,"Marvy Jack"
278,"Doga Kobo"
279,"Assez Finaud Fabric"
280,"Romanov Films"
281,"Animation Do"
282,"Studio Chizu"
283,"Kaname Productions"
284,Tri-Slash
285,"Agent 21"
286,"SBS TV Production"
287,"Studio Egg"
288,3xCube
289,"Yamato Works"
290,"Production IMS"
291,"ACC Production"
292,Odolttogi
293,"Tamura Shigeru Studio"
294,"Office Nobu"
295,"Mushi Production"
296,"Sparky Animation"
297,"Studio Signal"
298,Issen
299,"Bee Media"
300,NHK
301,GEMBA
302,"The Answer Studio"
303,Hotline
304,"Studio 88"
305,Tomason
306,Darts
307,"Larx Entertainment"
308,D.A.S.T.
309,DMM.futureworks
310,Shueisha
311,"Azeta Pictures"
312,"Husio Studio"
313,"HS Pictures Studio"
314,AT-2
315,"FOREST Hunting One"
316,Artmic
317,"Egg Firm"
318,Trigger
319,"Ishimori Entertainment"
320,"Nishiki Studio"
321,"AIC Frontier"
322,JCF
323,"Sola Digital Arts"
324,TOCSIS
325,"Asahi Production"
326,"Kazami Gakuen Koushiki Douga-bu"
327,"Office Take Off"
328,Inc.
329,Passione
330,"Sugar Boy"
331,"Imagica Imageworks"
332,"Next Media Animation"
333,Venet
334,"Studio Nanahoshi"
335,MAPPA
336,"Dynamic Planning"
337,"Square Enix Visual Works"
338,"Fifth Avenue"
339,"Studio Z5"
340,"Studio CA"
341,SANZIGEN
342,"Academy Productions"
343,"Magia Doraglier"
344,Rikuentai
345,"Studio Lings"
346,Echo
347,"Ginga Ya"
348,Fenz
349,"Polygon Pictures"
350,Three-d
351,"Lapin Track"
352,"Mary Jane"
353,"Kitty Films"
354,P.I.C.S.
355,"An DerCen"
356,"Filmlink International"
357,"Aurum Production"
358,Genco
359,"Colored-Pencil Animation Design"
360,T-Rex
361,"Samsara Animation Studio"
362,"Studio G-1Neo"
363,"Giga Production"
364,Nexus
365,"Front Line"
366,RAMS
367,"Seven Arcs Pictures"
368,"Public & Basic"
369,Charaction
370,"Anime R"
371,"Wit Studio"
372,"Image House"
373,HOTZIPANG
374,"Ishikawa Pro"
375,"Mook DLE"
376,LIDENFILMS
377,"Pierrot Plus"
378,Bouncy
379,"Studio Kelmadick"
380,"W+K Tokyo"
381,Sanrio
382,"Kaeruotoko Shokai"
383,Aubec
384,MooGoo
385,"Big Bang"
386,"Mirai Film"
387,"Studio OX"
388,ILCA
389,"Tsuchida Productions"
390,"Studio Moriken"
391,"P.A. Works"
392,"Studio 1st"
393,"Himajin Planning"
394,Yaoyorozu
395,Soeishinsha
396,"Opera House"
397,Lilix
398,Gaina
399,Telescreen
400,"Studio Colorido"
401,"A-1 Pictures"
402,NAZ
403,PPM
404,"Minakata Laboratory"
405,Youmex
406,Tecarat
407,"Animation 21"
408,"Studio Dadashow"
409,"Visual 80"
410,C-Station
411,"Urban Product"
